"rowname","MeanDecreaseGini","Rank","StudyModel","BaseModel"
"Clostridium_clostridioforme",2.69832452744359,10,"PRJDB4176","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"PRJDB4176","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"PRJDB4176","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"PRJDB4176","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"PRJDB4176","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"PRJDB4176","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"PRJDB4176","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"PRJDB4176","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"PRJDB4176","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"PRJDB4176","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"PRJDB4176","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"PRJDB4176","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"PRJDB4176","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"PRJDB4176","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"PRJDB4176","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"PRJDB4176","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"PRJDB4176","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"PRJDB4176","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"PRJDB4176","PRJEB27928"
"Clostridium_clostridioforme",2.69832452744359,10,"ZellerG_2014","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"ZellerG_2014","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"ZellerG_2014","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"ZellerG_2014","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"ZellerG_2014","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"ZellerG_2014","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"ZellerG_2014","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"ZellerG_2014","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"ZellerG_2014","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"ZellerG_2014","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"ZellerG_2014","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"ZellerG_2014","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"ZellerG_2014","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"ZellerG_2014","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"ZellerG_2014","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"ZellerG_2014","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"ZellerG_2014","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"ZellerG_2014","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"ZellerG_2014","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"ZellerG_2014","PRJEB27928"
