"rowname","MeanDecreaseGini","Rank","StudyModel","BaseModel"
"Clostridium_clostridioforme",1.20919820152548,18,"PRJDB4176","PRJEB27928"
"Parvimonas_unclassified",2.36986780065838,3,"PRJDB4176","PRJEB27928"
"Anaerotruncus_unclassified",3.85740850333965,1,"PRJDB4176","PRJEB27928"
"Parvimonas_micra",1.63244516960168,11,"PRJDB4176","PRJEB27928"
"Solobacterium_moorei",2.80370286752832,2,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_stomatis",1.4400345263588,13,"PRJDB4176","PRJEB27928"
"Gemella_morbillorum",0.99655924940905,24,"PRJDB4176","PRJEB27928"
"Ruminococcus_albus",1.88821427905147,6,"PRJDB4176","PRJEB27928"
"Clostridium_symbiosum",1.42415943323937,14,"PRJDB4176","PRJEB27928"
"Porphyromonas_asaccharolytica",1.11607256641152,22,"PRJDB4176","PRJEB27928"
"Ruminococcus_torques",1.7657292525784,9,"PRJDB4176","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",1.78769398099831,8,"PRJDB4176","PRJEB27928"
"Fusobacterium_nucleatum",1.27706291686054,17,"PRJDB4176","PRJEB27928"
"Clostridiaceae_bacterium_JC118",0.939544812753276,25,"PRJDB4176","PRJEB27928"
"Clostridium_hathewayi",2.26730758508864,4,"PRJDB4176","PRJEB27928"
"Rothia_dentocariosa",0.840096461907013,28,"PRJDB4176","PRJEB27928"
"Subdoligranulum_variabile",1.66245823004436,10,"PRJDB4176","PRJEB27928"
"Butyrivibrio_unclassified",0.545206611215385,39,"PRJDB4176","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.590573644166084,38,"PRJDB4176","PRJEB27928"
"Deinococcus_unclassified",0.492036226419801,41,"PRJDB4176","PRJEB27928"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.99748730568479,5,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_unclassified",0.906229870011099,26,"PRJDB4176","PRJEB27928"
"Streptococcus_mitis_oralis_pneumoniae",1.49052230114403,12,"PRJDB4176","PRJEB27928"
"Clostridium_scindens",1.31686378347436,16,"PRJDB4176","PRJEB27928"
"Mitsuokella_unclassified",0.511423058132668,40,"PRJDB4176","PRJEB27928"
"Butyricimonas_synergistica",0.480730189129529,42,"PRJDB4176","PRJEB27928"
"Oxalobacter_formigenes",0.868554282340839,27,"PRJDB4176","PRJEB27928"
"Campylobacter_ureolyticus",0.255504759132981,50,"PRJDB4176","PRJEB27928"
"Granulicatella_adiacens",1.14166752133998,21,"PRJDB4176","PRJEB27928"
"Bacteroides_nordii",0.785408342221025,29,"PRJDB4176","PRJEB27928"
"Porphyromonas_uenonis",0.638191459773876,37,"PRJDB4176","PRJEB27928"
"Clostridium_bolteae",1.86147123035211,7,"PRJDB4176","PRJEB27928"
"Eubacterium_infirmum",0.451809924908063,43,"PRJDB4176","PRJEB27928"
"Bacteroides_ovatus",1.10124226301195,23,"PRJDB4176","PRJEB27928"
"Clostridium_citroniae",1.38557974850994,15,"PRJDB4176","PRJEB27928"
"Blautia_hydrogenotrophica",0.448701475678151,44,"PRJDB4176","PRJEB27928"
"Streptococcus_anginosus",1.18091965963918,20,"PRJDB4176","PRJEB27928"
"Lachnospiraceae_bacterium_1_4_56FAA",0.377873369420799,47,"PRJDB4176","PRJEB27928"
"Porphyromonas_somerae",0.438647423630171,45,"PRJDB4176","PRJEB27928"
"candidate_division_TM7_single_cell_isolate_TM7c",0.397729083671279,46,"PRJDB4176","PRJEB27928"
"Streptococcus_cristatus",0.272684389552791,49,"PRJDB4176","PRJEB27928"
"Megasphaera_unclassified",0.666313197034087,36,"PRJDB4176","PRJEB27928"
"Scardovia_wiggsiae",0.358752946769673,48,"PRJDB4176","PRJEB27928"
"Eggerthella_lenta",0.668407847188033,35,"PRJDB4176","PRJEB27928"
"Bacteroides_coprocola",0.675300599737881,34,"PRJDB4176","PRJEB27928"
"Coprobacillus_unclassified",0.768823698711436,31,"PRJDB4176","PRJEB27928"
"Gemella_sanguinis",0.770193355174708,30,"PRJDB4176","PRJEB27928"
"Faecalibacterium_prausnitzii",1.19161256286194,19,"PRJDB4176","PRJEB27928"
"Olsenella_unclassified",0.704637199452274,33,"PRJDB4176","PRJEB27928"
