"rowname","MeanDecreaseGini","Rank","StudyModel","BaseModel"
"Clostridium_clostridioforme",1.8461859921484,15,"PRJDB4176","PRJEB27928"
"Parvimonas_unclassified",3.49700752385673,3,"PRJDB4176","PRJEB27928"
"Anaerotruncus_unclassified",4.55939968135043,1,"PRJDB4176","PRJEB27928"
"Parvimonas_micra",1.89401233297068,13,"PRJDB4176","PRJEB27928"
"Solobacterium_moorei",3.82803868454745,2,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_stomatis",1.91569211111782,11,"PRJDB4176","PRJEB27928"
"Gemella_morbillorum",1.63919091527667,18,"PRJDB4176","PRJEB27928"
"Ruminococcus_albus",2.53768938638294,7,"PRJDB4176","PRJEB27928"
"Clostridium_symbiosum",2.13732708926698,10,"PRJDB4176","PRJEB27928"
"Porphyromonas_asaccharolytica",1.89899997249583,12,"PRJDB4176","PRJEB27928"
"Ruminococcus_torques",2.31547813236477,9,"PRJDB4176","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",2.7944703051549,5,"PRJDB4176","PRJEB27928"
"Fusobacterium_nucleatum",1.70213366277837,17,"PRJDB4176","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.10084471578476,21,"PRJDB4176","PRJEB27928"
"Clostridium_hathewayi",3.44857000888716,4,"PRJDB4176","PRJEB27928"
"Rothia_dentocariosa",0.779605533372573,26,"PRJDB4176","PRJEB27928"
"Subdoligranulum_variabile",2.71352857791335,6,"PRJDB4176","PRJEB27928"
"Butyrivibrio_unclassified",0.797189410578114,25,"PRJDB4176","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.760685271676757,27,"PRJDB4176","PRJEB27928"
"Deinococcus_unclassified",0.454434204272377,29,"PRJDB4176","PRJEB27928"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",2.52245413678074,8,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_unclassified",0.913710428004724,23,"PRJDB4176","PRJEB27928"
"Streptococcus_mitis_oralis_pneumoniae",1.86090674103115,14,"PRJDB4176","PRJEB27928"
"Clostridium_scindens",1.82555057028861,16,"PRJDB4176","PRJEB27928"
"Mitsuokella_unclassified",0.89034182942455,24,"PRJDB4176","PRJEB27928"
"Butyricimonas_synergistica",0.461048737940083,28,"PRJDB4176","PRJEB27928"
"Oxalobacter_formigenes",1.22973178169805,20,"PRJDB4176","PRJEB27928"
"Campylobacter_ureolyticus",0.200537124182479,30,"PRJDB4176","PRJEB27928"
"Granulicatella_adiacens",1.63302092743418,19,"PRJDB4176","PRJEB27928"
"Bacteroides_nordii",0.913815602391275,22,"PRJDB4176","PRJEB27928"
"Clostridium_clostridioforme",1.8461859921484,15,"ZellerG_2014","PRJEB27928"
"Parvimonas_unclassified",3.49700752385673,3,"ZellerG_2014","PRJEB27928"
"Anaerotruncus_unclassified",4.55939968135043,1,"ZellerG_2014","PRJEB27928"
"Parvimonas_micra",1.89401233297068,13,"ZellerG_2014","PRJEB27928"
"Solobacterium_moorei",3.82803868454745,2,"ZellerG_2014","PRJEB27928"
"Peptostreptococcus_stomatis",1.91569211111782,11,"ZellerG_2014","PRJEB27928"
"Gemella_morbillorum",1.63919091527667,18,"ZellerG_2014","PRJEB27928"
"Ruminococcus_albus",2.53768938638294,7,"ZellerG_2014","PRJEB27928"
"Clostridium_symbiosum",2.13732708926698,10,"ZellerG_2014","PRJEB27928"
"Porphyromonas_asaccharolytica",1.89899997249583,12,"ZellerG_2014","PRJEB27928"
"Ruminococcus_torques",2.31547813236477,9,"ZellerG_2014","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",2.7944703051549,5,"ZellerG_2014","PRJEB27928"
"Fusobacterium_nucleatum",1.70213366277837,17,"ZellerG_2014","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.10084471578476,21,"ZellerG_2014","PRJEB27928"
"Clostridium_hathewayi",3.44857000888716,4,"ZellerG_2014","PRJEB27928"
"Rothia_dentocariosa",0.779605533372573,26,"ZellerG_2014","PRJEB27928"
"Subdoligranulum_variabile",2.71352857791335,6,"ZellerG_2014","PRJEB27928"
"Butyrivibrio_unclassified",0.797189410578114,25,"ZellerG_2014","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.760685271676757,27,"ZellerG_2014","PRJEB27928"
"Deinococcus_unclassified",0.454434204272377,29,"ZellerG_2014","PRJEB27928"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",2.52245413678074,8,"ZellerG_2014","PRJEB27928"
"Peptostreptococcus_unclassified",0.913710428004724,23,"ZellerG_2014","PRJEB27928"
"Streptococcus_mitis_oralis_pneumoniae",1.86090674103115,14,"ZellerG_2014","PRJEB27928"
"Clostridium_scindens",1.82555057028861,16,"ZellerG_2014","PRJEB27928"
"Mitsuokella_unclassified",0.89034182942455,24,"ZellerG_2014","PRJEB27928"
"Butyricimonas_synergistica",0.461048737940083,28,"ZellerG_2014","PRJEB27928"
"Oxalobacter_formigenes",1.22973178169805,20,"ZellerG_2014","PRJEB27928"
"Campylobacter_ureolyticus",0.200537124182479,30,"ZellerG_2014","PRJEB27928"
