"rowname","MeanDecreaseGini","Rank","StudyModel","BaseModel"
"Clostridium_clostridioforme",1.59804224787472,14,"PRJDB4176","PRJEB27928"
"Parvimonas_unclassified",3.14316966804174,3,"PRJDB4176","PRJEB27928"
"Anaerotruncus_unclassified",4.16179594475452,1,"PRJDB4176","PRJEB27928"
"Parvimonas_micra",1.62513692646337,12,"PRJDB4176","PRJEB27928"
"Solobacterium_moorei",3.71918324164163,2,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_stomatis",1.27768620934107,21,"PRJDB4176","PRJEB27928"
"Gemella_morbillorum",1.74298394944326,11,"PRJDB4176","PRJEB27928"
"Ruminococcus_albus",2.33326541954056,5,"PRJDB4176","PRJEB27928"
"Clostridium_symbiosum",1.44492426084238,16,"PRJDB4176","PRJEB27928"
"Porphyromonas_asaccharolytica",1.35762254692012,18,"PRJDB4176","PRJEB27928"
"Ruminococcus_torques",1.84049319955901,10,"PRJDB4176","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",2.19628022443898,7,"PRJDB4176","PRJEB27928"
"Fusobacterium_nucleatum",1.41669634056552,17,"PRJDB4176","PRJEB27928"
"Clostridiaceae_bacterium_JC118",0.861296361113731,25,"PRJDB4176","PRJEB27928"
"Clostridium_hathewayi",2.51271100101069,4,"PRJDB4176","PRJEB27928"
"Rothia_dentocariosa",0.600401528065719,30,"PRJDB4176","PRJEB27928"
"Subdoligranulum_variabile",2.13458510899745,8,"PRJDB4176","PRJEB27928"
"Butyrivibrio_unclassified",0.554121129339945,34,"PRJDB4176","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.653072846140969,29,"PRJDB4176","PRJEB27928"
"Deinococcus_unclassified",0.575002735688622,33,"PRJDB4176","PRJEB27928"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.94513359226909,9,"PRJDB4176","PRJEB27928"
"Peptostreptococcus_unclassified",0.77713050979141,26,"PRJDB4176","PRJEB27928"
"Streptococcus_mitis_oralis_pneumoniae",1.61322476433836,13,"PRJDB4176","PRJEB27928"
"Clostridium_scindens",1.4727784793666,15,"PRJDB4176","PRJEB27928"
"Mitsuokella_unclassified",0.58129547869081,31,"PRJDB4176","PRJEB27928"
"Butyricimonas_synergistica",0.44363174227485,38,"PRJDB4176","PRJEB27928"
"Oxalobacter_formigenes",1.15978365595643,24,"PRJDB4176","PRJEB27928"
"Campylobacter_ureolyticus",0.291080769767493,40,"PRJDB4176","PRJEB27928"
"Granulicatella_adiacens",1.28878703431663,19,"PRJDB4176","PRJEB27928"
"Bacteroides_nordii",0.766962299490094,27,"PRJDB4176","PRJEB27928"
"Porphyromonas_uenonis",0.676651341052404,28,"PRJDB4176","PRJEB27928"
"Clostridium_bolteae",2.26814483572127,6,"PRJDB4176","PRJEB27928"
"Eubacterium_infirmum",0.460177289522063,37,"PRJDB4176","PRJEB27928"
"Bacteroides_ovatus",1.27383098134893,22,"PRJDB4176","PRJEB27928"
"Clostridium_citroniae",1.28018489620432,20,"PRJDB4176","PRJEB27928"
