"Ctl","Disease"
"SID532915","SID31223"
"DRR127649","MMRS86958796ST.27.0.0"
"SID31700","SID531128"
"LILT_VF28_T016","LILT_VF192_T017"
"SZAXPI015268.109","CCMD50071957ST.21.0"
"SZAXPI015255.46","CCIS55230578ST.4.0"
"CRC_MR_SBJ16H_17","CCMD46222674ST.21.0"
"SID530119","SZAXPI003436.7"
"CCIS11354283ST.4.0","SID531416"
"CCIS64785924ST.20.0","SZAXPI003424.12"
"MMRS61683006ST.27.0.0","CCIS14449628ST.4.0"
"SZAXPI015253.44","CCMD49461418ST.11.0"
"CCMD49025643ST.11.0","SZAXPI017466.84"
"LILT_VF140_T016","CCIS78318719ST.4.0"
"CCIS63910149ST.4.0","SID31489"
"CCIS50471204ST.4.0","MMRS93508324ST.27.0.0"
"SZAXPI015258.57","DRR127517"
"SID31160","SZAXPI015223.158"
"CCMD73128545ST.11.0","CCMD72895164ST.21.0"
"CCIS02856720ST.4.0","CCIS41222843ST.4.0"
"SID532796","SID531352"
"SZAXPI015245.33","CCIS40244499ST.3.0"
"CCMD89643949ST.11.0","DRR127594"
"CRC_MR_SBJ84H_17","SZAXPI017580.90"
"CCIS88007743ST.4.0","CRC_MR_SBJ39C_17"
"CCIS15794887ST.4.0","CCIS77252613ST.4.0"
"CCMD76409700ST.11.0","CRC_MR_SBJ12C_17"
"SZAXPI015274.111","CRC_MR_SBJ22C_17"
"SZAXPI015261.75","CCIS62794166ST.4.0"
"SID531424","SZAXPI015214.19"
"SID530167","DRR127720"
"CRC_MR_SBJ74H_17","MMRS77321055ST.27.0.0"
"CCMD89107682ST.11.0","SID31871"
"CCIS20795251ST.4.0","SID31872"
"DRR127634","SZAXPI017463.36"
"SZAXPI003433.7","DRR127536"
"MMRS32573774ST.27.0.0","LILT_VF176_T017"
"CCIS07277498ST.4.0","CCMD25963797ST.21.0"
"DRR127762","MMRS81671217ST.27.0.0"
"MMRS73787048ST.27.0.0","CCIS81887263ST.4.0"
"CCMD74592084ST.11.0","MMRS14379078ST.27.0.0"
"CCMD45004878ST.11.0","CCMD27463710ST.11.0"
"CCIS64773582ST.4.0","DRR162777"
"CCMD25475945ST.11.0","SID31876"
"CCMD37575804ST.11.0","CRC_MR_SBJ35C_17"
"CCIS74239020ST.4.0","SZAXPI015221.142"
"CCIS51595129ST.4.0","CCIS21278152ST.4.0"
"MMRS38861560ST.27.0.0","MMRS41266697ST.27.0.0"
"CCIS98482370ST.3.0","LILT_VF270_T017"
"CRC_MR_SBJ57H_17","SID31285"
"CRC_MR_SBJ81H_17","SID31884"
"CCMD10032470ST.11.0","CCMD34381688ST.21.0"
"DRR127737","SID31868"
"DRR127532","DRR127478"
"LILT_VF259_T016","CCIS87605453ST.4.0"
"MMRS57569834ST.27.0.0","CCMD14479708ST.21.0"
"DRR127552","CRC_MR_SBJ26C_17"
"DRR127597","SID531361"
"SID31112","SID31159"
"CCIS10706551ST.3.0","CRC_MR_SBJ53C_17"
"LILT_VF189_T016","LILT_GF15_16"
"MMRS81130264ST.27.0.0","DRR127647"
"SID530163","SID31865"
"MMRS39415781ST.27.0.0","MMRS97052561ST.27.0.0"
"MMRS51307502ST.27.0.0","CCMD60079086ST.21.0"
"MMRS84085284ST.27.0.0","CCMD19497912ST.21.0"
"LILT_VF18_T016","LILT_VF234_T017"
"MMRS87723283ST.27.0.0","DRR127700"
"SZAXPI015256.47","DRR127509"
