"Ctl","Disease"
"SID530258","CRC_MR_SBJ10C_17"
"SZAXPI015242.30","CCMD86707194ST.21.0"
"CRC_MR_SBJ16H_17","SZAXPI017462.33"
"CCIS29210128ST.4.0","SZAXPI017587.113"
"SID31700","MMRS78791111ST.27.0.0"
"CCMD31134579ST.11.0","CCIS84543192ST.4.0"
"CCMD99440714ST.11.0","LILT_VF207_T017"
"CCIS88317640ST.4.0","MMRS55294627ST.27.0.0"
"CCMD49025643ST.11.0","SID31876"
"DRR127707","MMRS41266697ST.27.0.0"
"SZAXPI015262.79","SZAXPI015221.142"
"CCIS27304052ST.3.0","CRC_MR_SBJ02C_17"
"MMRS21365932ST.27.0.0","CRC_MR_SBJ51C_17"
"SZAXPI003417.4","SID31868"
"DRR127736","DRR127507"
"SID31450","SZAXPI003410.3"
