"Ctl","Disease"
"CCMD41202658ST.11.0","MMRS54316675ST.27.0.0"
"CCIS00281083ST.3.0","DRR127666"
"CCIS94603952ST.4.0","SZAXPI017594.166"
"CCMD31009081ST.11.0","CRC_MR_SBJ32C_17"
"CCIS11354283ST.4.0","CRC_MR_SBJ52C_17"
"DRR127692","CCMD48236717ST.21.0"
"SID532802","CCMD13934959ST.21.0"
"CCIS02124300ST.4.0","DRR127485"
"CCMD50538120ST.11.0","CCMD89306485ST.11.0"
"MMRS67096717ST.27.0.0","DRR127767"
"SZAXPI017592.142","SID31489"
"CRC_MR_SBJ73H_17","CCMD49461418ST.11.0"
"LILT_VF00TL_16","CCIS83870198ST.4.0"
"CCIS21126322ST.4.0","CCIS48725289ST.4.0"
"SZAXPI015251.41","CCIS11015875ST.4.0"
"MMRS88581325ST.27.0.0","CCMD46222674ST.21.0"
"SID31379","CRC_MR_SBJ22C_17"
"MMPU99077057ST","MMRS86958796ST.27.0.0"
"SID530258","CRC_MR_SBJ64C_17"
"MMRS57569834ST.27.0.0","SZAXPI015215.20"
"MMRS35808664ST.27.0.0","SID31868"
"CCMD89967135ST.11.0","SID531352"
"DRR127535","SZAXPI017468.88"
"MMPU72854103ST","CCMD51864103ST.21.0"
"SID530215","SZAXPI003436.7"
"LILT_VF28_T016","LILT_VF192_T017"
"SZAXPI015260.74","SZAXPI017595.169"
"DRR127613","MMRS18295921ST.27.0.0"
"CRC_MR_SBJ80H_17","CRC_MR_SBJ02C_17"
"CCMD50300306ST.11.0","CRC_MR_SBJ49C_17"
"CCIS07539127ST.4.0","CCIS91228662ST.4.0"
"MMRS34569532ST.27.0.0","MMRS85382779ST.27.0.0"
"SID530394","SID531277"
"MMRS95277876ST.27.0.0","SID31875"
"CCIS50003399ST.4.0","SZAXPI017458.25"
"CRC_MR_SBJ79H_17","CCIS55230578ST.4.0"
"MMRS93621581ST.27.0.0","CCMD63399960ST.21.0"
"CCMD54057834ST.11.0","CCIS53043478ST.4.0"
"CCMD45004878ST.11.0","SID531128"
"SID31519","CCMD35633353ST.11.0"
"CCIS16561622ST.4.0","CRC_MR_SBJ51C_17"
"CRC_MR_SBJ45H_17","LILT_VF120_16"
"SZAXPI015253.44","CCMD95433940ST.21.0"
"CCIS50471204ST.4.0","CCIS82146115ST.4.0"
"CCMD76409700ST.11.0","CRC_MR_SBJ33C_17"
"CCIS48174381ST.4.0","SID31004"
"SID530167","SID31873"
"SZAXPI015230.16","SZAXPI017588.123"
"LILT_VF212_T016","LILT_VF73_16"
"CRC_MR_SBJ81H_17","SZAXPI003411.6"
