"Ctl","Disease"
"MMRS67096717ST.27.0.0","DRR127646"
"SZAXPI015245.33","DRR127617"
"SZAXPI017592.142","SZAXPI003412.1"
"CCMD27867141ST.11.0","SID31223"
"CCIS71578391ST.4.0","CRC_MR_SBJ52C_17"
"CCIS51595129ST.4.0","CCIS38765456ST.20.0"
"CCMD18579000ST.11.0","CCMD82866709ST.21.0"
"CCIS05314658ST.4.0","MMRS86958796ST.27.0.0"
"MMRS61683006ST.27.0.0","MMRS12272136ST.27.0.0"
"SZAXPI015251.41","SID31878"
"CCIS03473770ST.4.0","SID531277"
"SID530055","SID531416"
"CRC_MR_SBJ16H_17","SID31875"
"SZAXPI015261.75","CCIS62605362ST.3.0"
"DRR127731","CCIS14449628ST.4.0"
"LILT_VF171_T016","CCMD89306485ST.11.0"
"CCIS45793747ST.4.0","SZAXPI017586.111"
"MMRS35808664ST.27.0.0","SZAXPI015226.14"
"CCIS64785924ST.20.0","CRC_MR_SBJ50C_17"
"CRC_MR_SBJ75H_17","CRC_MR_SBJ20C_17"
"CCIS41692898ST.4.0","SID531281"
"CRC_MR_SBJ18H_17","MMRS55294627ST.27.0.0"
"CCIS34604008ST.4.0","CCIS17669415ST.4.0"
"CCIS79210440ST.3.0","DRR127708"
"LILT_VF265_T016","DRR127515"
"CCMD76409700ST.11.0","CRC_MR_SBJ12C_17"
"LILT_GF06_16","CCIS44757994ST.4.0"
"CCMD32965613ST.11.0","CCMD87156761ST.21.0"
"MMRS95479054ST.27.0.0","CCMD50071957ST.21.0"
"CRC_MR_SBJ68H_17","SID531352"
"CCMD73128545ST.11.0","MMRS78791111ST.27.0.0"
"CCIS29210128ST.4.0","SZAXPI017587.113"
"SID31452","CRC_MR_SBJ10C_17"
"CCMD50300306ST.11.0","SZAXPI017593.158"
"SID532802","CRC_MR_SBJ42C_17"
"DRR127762","SZAXPI017589.133"
"MMRS29805707ST.27.0.0","CCMD90311071ST.21.0"
"DRR127777","MMRS81194191ST.27.0.0"
"SZAXPI015265.88","DRR127580"
"MMRS56137463ST.27.0.0","CCMD52117727ST.11.0"
"MMRS87723283ST.27.0.0","DRR127481"
"CRC_MR_SBJ37H_17","MMRS81671217ST.27.0.0"
"CCIS81139242ST.4.0","SID31877"
"CCMD15562448ST.11.0","SZAXPI017590.136"
"MMRS32573774ST.27.0.0","CCMD18872694ST.21.0"
"SID31700","CCMD42428553ST.21.0"
"SZAXPI015259.62","DRR127514"
"LILT_VF31_16","SZAXPI003413.4"
"DRR127704","CCMD12232071ST.21.0"
"CCMD25475945ST.11.0","CRC_MR_SBJ61C_17"
"CCIS27304052ST.3.0","SZAXPI015225.18"
"DRR127737","CCIS98832363ST.4.0"
"SZAXPI015258.57","CRC_MR_SBJ29C_17"
"SZAXPI015249.37","SID31872"
"SZAXPI015273.95","SZAXPI017580.90"
"MMRS11288076ST.27.0.0","SZAXPI017585.109"
"MMRS81130264ST.27.0.0","SZAXPI017583.102"
"CCMD49025643ST.11.0","SID31873"
"CCIS00281083ST.3.0","SZAXPI003430.5"
"DRR127756","LILT_VF65_16"
"SID31360","SID531333"
"CRC_MR_SBJ17H_17","CCIS41288781ST.4.0"
"DRR127619","MMRS41266697ST.27.0.0"
"DRR162775","MMRS31306426ST.27.0.0"
"DRR162776","MMRS72980899ST.27.0.0"
