"Ctl","Disease"
"CCMD41202658ST.11.0","MMRS54316675ST.27.0.0"
"CCMD27867141ST.11.0","SID531128"
"SID31328","SID530890"
"MMRS88581325ST.27.0.0","CCMD46222674ST.21.0"
"LILT_VF265_T016","CCIS41548810ST.4.0"
"CCIS50471204ST.4.0","CRC_MR_SBJ10C_17"
"DRR127597","CCMD48236717ST.21.0"
"CCIS81139242ST.4.0","CRC_MR_SBJ52C_17"
"LILT_VF212_T016","LILT_VF73_16"
"SZAXPI015268.109","CCIS14449628ST.4.0"
"MMRS61683006ST.27.0.0","SZAXPI015237.23"
"CCIS45793747ST.4.0","CCIS47284573ST.4.0"
"MMRS17963147ST.27.0.0","MMRS51410669ST.27.0.0"
"SZAXPI015262.79","CRC_MR_SBJ64C_17"
"MMPU29365221ST","MMRS62376181ST.27.0.0"
"SZAXPI015250.39","SID31871"
"MMPU68403337ST","CCMD95431029ST.11.0"
"CCMD56948710ST.11.0","SID31874"
"CCMD10032470ST.11.0","CCMD93344354ST.21.0"
"CCIS00281083ST.3.0","SZAXPI015220.136"
"DRR127628","SZAXPI017588.123"
"MMRS34569532ST.27.0.0","CCMD87156761ST.21.0"
"SID530050","SZAXPI017454.20"
"CCMD73128545ST.11.0","CCIS71301801ST.4.0"
"CCMD76409700ST.11.0","CRC_MR_SBJ12C_17"
"SID530364","SID31549"
"MMRS57276462ST.27.0.0","CCMD18872694ST.21.0"
"SZAXPI015240.26","SZAXPI017463.36"
"LILT_VF28_T016","CCMD64776337ST.21.0"
"CRC_MR_SBJ77H_17","CCMD88272491ST.21.0"
"CRC_MR_SBJ34H_17","SZAXPI015216.169"
"MMRS39415781ST.27.0.0","DRR127638"
"CCIS32452666ST.4.0","CCIS41222843ST.4.0"
"DRR127737","CCIS40244499ST.3.0"
"CCIS36797902ST.4.0","SZAXPI017453.19"
"CRC_MR_SBJ67H_17","LILT_VF176_T017"
"MMRS95277876ST.27.0.0","CCIS98512455ST.4.0"
"DRR127488","SZAXPI003437.3"
"SZAXPI015228.14","CRC_MR_SBJ05C_17"
"MMRS68630931ST.27.0.0","DRR127536"
"CCMD38158721ST.11.0","CCMD12232071ST.21.0"
"CCIS88007743ST.4.0","SZAXPI015211.166"
"LILT_VF262_T016","LILT_VF251_T017"
"CRC_MR_SBJ21H_17","MMRS44587603ST.27.0.0"
"SID31009","CCIS22958137ST.20.0"
"CCMD49025643ST.11.0","CCMD65406197ST.11.0"
"DRR127751","CCIS41288781ST.4.0"
"SID530315","CRC_MR_SBJ11C_17"
"CCMD99929634ST.11.0","CCMD26709089ST.21.0"
"CCIS93040568ST.20.0","SZAXPI017587.113"
"CRC_MR_SBJ03H_17","CCMD19497912ST.21.0"
"SID530215","SID31159"
"DRR127537","DRR127579"
"SID31300","CCMD27463710ST.11.0"
"DRR127713","SZAXPI017582.94"
"SID31129","CCIS65479369ST.4.0"
"SID31160","SID31865"
