"Ctl","Disease"
"DRR127597","CCIS84543192ST.4.0"
"CRC_MR_SBJ83H_17","MMRS81671217ST.27.0.0"
"CRC_MR_SBJ81H_17","DRR127646"
"CCIS03473770ST.4.0","DRR127485"
"SZAXPI015260.74","SZAXPI017595.169"
"CCMD50300306ST.11.0","CRC_MR_SBJ49C_17"
"CCIS50471204ST.4.0","CRC_MR_SBJ10C_17"
"SZAXPI015271.93","CCIS48725289ST.4.0"
"SID530167","SID31873"
"CRC_MR_SBJ80H_17","SID531416"
"MMRS35808664ST.27.0.0","MMRS18295921ST.27.0.0"
"CCMD18579000ST.11.0","MMRS90191266ST.27.0.0"
"CCIS13047523ST.4.0","CRC_MR_SBJ22C_17"
"SID31537","CCIS17669415ST.4.0"
"CRC_MR_SBJ74H_17","CCMD95433940ST.21.0"
"DRR127649","SID531128"
"CCIS90164298ST.4.0","CRC_MR_SBJ20C_17"
"SZAXPI015258.57","DRR127517"
"MMPU99077057ST","MMRS12272136ST.27.0.0"
"SID530215","SZAXPI003421.5"
"CCMD46727384ST.11.0","SID531382"
"SZAXPI015261.75","MMRS16644320ST.27.0.0"
"CCIS82944710ST.20.0","CCIS41222843ST.4.0"
"LILT_GF06_16","CCIS44757994ST.4.0"
"CCIS07648107ST.4.0","CCMD50071957ST.21.0"
"SID530050","DRR162778"
"CCMD53522274ST.11.0","CCIS98832363ST.4.0"
"CCIS88317640ST.4.0","SID531281"
"MMRS57276462ST.27.0.0","CCMD71242853ST.11.0"
"CRC_MR_SBJ77H_17","CCMD88272491ST.21.0"
"CCIS64773582ST.4.0","MMRS96422329ST.27.0.0"
"MMRS39415781ST.27.0.0","DRR127638"
"CRC_MR_SBJ68H_17","SZAXPI003435.11"
"DRR127707","DRR162779"
"MMRS57569834ST.27.0.0","CRC_MR_SBJ31C_17"
"MMRS81135225ST.27.0.0","CCIS87252800ST.4.0"
"CCIS36699628ST.4.0","SZAXPI003426.11"
"CRC_MR_SBJ46H_17","DRR127754"
"LILT_VF40_16","SZAXPI017466.84"
"CCIS16561622ST.4.0","CCIS38765456ST.20.0"
"SZAXPI015247.35","DRR127521"
"SZAXPI015231.17","DRR127557"
"LILT_VF31_16","SID31884"
"CRC_MR_SBJ67H_17","CRC_MR_SBJ07C_17"
"SID530227","SID31223"
"CCIS80834637ST.4.0","CRC_MR_SBJ35C_17"
"SZAXPI015249.37","CCIS06260551ST.3.0"
"DRR127763","MMRS97052561ST.27.0.0"
"SID532826","SZAXPI017459.26"
"SZAXPI015254.45","CCMD98531134ST.11.0"
"SID531414","SZAXPI003410.3"
"DRR127756","DRR127476"
"SID530444","SID31872"
"SID31428","SID531333"
"DRR127619","MMRS41266697ST.27.0.0"
"CCIS03857607ST.4.0","SID31188"
"CCMD72666896ST.11.0","MMRS42780924ST.27.0.0"
"DRR127721","LILT_VF300_T016"
"LILT_VF18_T016","LILT_VF145_T017"
"CCMD49942357ST.11.0","MMRS77321055ST.27.0.0"
