"Ctl","Disease"
"CCIS94417875ST.3.0","MMRS96422329ST.27.0.0"
"MMRS35808664ST.27.0.0","SID31868"
"SID31021","SID531416"
"CRC_MR_SBJ83H_17","CRC_MR_SBJ49C_17"
"SZAXPI015268.109","MMRS16644320ST.27.0.0"
"CCMD50300306ST.11.0","SZAXPI017468.88"
"CCIS81139242ST.4.0","CRC_MR_SBJ52C_17"
"CCIS45793747ST.4.0","DRR127517"
"SZAXPI015234.20","CCMD86114146ST.21.0"
"SID530119","SZAXPI003436.7"
"CRC_MR_SBJ45H_17","MMRS55294627ST.27.0.0"
"SID31512","SID531155"
"CCIS05314658ST.4.0","MMRS93508324ST.27.0.0"
"SZAXPI015262.79","CCIS17669415ST.4.0"
"SZAXPI015255.46","SZAXPI017586.111"
"CCMD89967135ST.11.0","CRC_MR_SBJ51C_17"
"CCMD66848156ST.11.0","CCMD45988061ST.21.0"
"CCMD98702133ST.11.0","CRC_MR_SBJ22C_17"
"DRR127649","CCMD95676152ST.11.0"
"SZAXPI015240.26","SZAXPI017463.36"
"SZAXPI015258.57","CRC_MR_SBJ53C_17"
"CCIS95097901ST.4.0","SID31685"
"CCMD31009081ST.11.0","MMRS65205033ST.27.0.0"
"MMRS67096717ST.27.0.0","SID31870"
"CCIS90164298ST.4.0","CRC_MR_SBJ31C_17"
"CCIS36797902ST.4.0","MMRS72802364ST.27.0.0"
"CCMD99440714ST.11.0","MMRS86178473ST.27.0.0"
"MMRS97307143ST.27.0.0","CCMD26925580ST.21.0"
"CCMD85661207ST.11.0","CCMD13071240ST.21.0"
"DRR127546","SZAXPI017457.24"
"MMRS11288076ST.27.0.0","CCIS81887263ST.4.0"
"CCMD68973846ST.11.0","CCMD42428553ST.21.0"
"SID530055","DRR127491"
"CCIS36699628ST.4.0","CCIS98512455ST.4.0"
"MMRS17603756ST.27.0.0","MMRS72980899ST.27.0.0"
"CCMD25475945ST.11.0","CCIS41222843ST.4.0"
"MMRS39415781ST.27.0.0","MMRS24340226ST.27.0.0"
"DRR127532","CCMD88272491ST.21.0"
"SZAXPI015228.14","SZAXPI015209.133"
"MMRS84085284ST.27.0.0","CCMD19497912ST.21.0"
"CCIS10706551ST.3.0","CRC_MR_SBJ29C_17"
"SZAXPI015254.45","SZAXPI003431.1"
