"Ctl","Disease"
"CRC_MR_SBJ78H_17","CRC_MR_SBJ06C_17"
"CCMD56948710ST.11.0","SZAXPI015218.16"
"CCIS00281083ST.3.0","CCMD48236717ST.21.0"
"SID31512","CRC_MR_SBJ02C_17"
"CCIS63468405ST.4.0","CCIS21278152ST.4.0"
"CCIS45571137ST.3.0","CCIS98512455ST.4.0"
"CCIS94417875ST.3.0","MMRS65205033ST.27.0.0"
"SZAXPI015240.26","SZAXPI017463.36"
"SID31749","DRR127515"
"CCIS95409808ST.4.0","MMRS85382779ST.27.0.0"
"CCMD41521570ST.11.0","MMRS12272136ST.27.0.0"
"CRC_MR_SBJ24H_17","SID31868"
"CCIS27304052ST.3.0","CCIS53355328ST.4.0"
"CCMD29706695ST.11.0","MMRS18295921ST.27.0.0"
"LILT_VF259_T016","LILT_VF100_T016"
"MMRS20257302ST.27.0.0","MMRS24340226ST.27.0.0"
"LILT_VF212_T016","SZAXPI015225.18"
"SZAXPI015249.37","SZAXPI003424.12"
"MMRS95674036ST.27.0.0","CCIS87252800ST.4.0"
"DRR127596","SZAXPI003422.11"
