"Ctl","Disease"
"CCMD35081859ST.11.0","CCIS83870198ST.4.0"
"SZAXPI015264.87","MMRS78791111ST.27.0.0"
"SID530258","CCIS17669415ST.4.0"
"SID532802","CCMD59583015ST.11.0"
"MMRS65862658ST.27.0.0","MMRS14379078ST.27.0.0"
"CCMD37575804ST.11.0","CCMD35802077ST.21.0"
"CCIS79210440ST.3.0","CRC_MR_SBJ51C_17"
"LILT_VF28_T016","CCMD64776337ST.21.0"
"CCMD27867141ST.11.0","CCMD52145360ST.11.0"
"DRR127634","SZAXPI017463.36"
"CRC_MR_SBJ67H_17","SZAXPI017462.33"
"MMRS94549160ST.27.0.0","CCIS21278152ST.4.0"
"CCMD15562448ST.11.0","CCIS44757994ST.4.0"
"SID530075","LILT_VF216_T017"
"CRC_MR_SBJ65H_17","CCMD25963797ST.21.0"
"SID531414","CCMD60079086ST.21.0"
"SID31009","SZAXPI003435.11"
"SID31219","SID531775"
"MMRS25211151ST.27.0.0","DRR127580"
"MMPU84450604ST","CCMD46947453ST.21.0"
"CRC_MR_SBJ60H_17","SZAXPI003430.5"
"CCIS16326685ST.4.0","SZAXPI015211.166"
"MMRS91297590ST.27.0.0","SZAXPI017457.24"
"CCMD93755960ST.11.0","MMRS51410669ST.27.0.0"
"LILT_VF279_T016","CCIS87252800ST.4.0"
"SZAXPI015269.94","SZAXPI017589.133"
"SZAXPI015233.19","LILT_VF107_16"
"SZAXPI015263.84","MMRS34525504ST.27.0.0"
"SID31450","LILT_VF65_16"
"DRR127672","SZAXPI015237.23"
