"Ctl","Disease"
"SID31328","CRC_MR_SBJ04C_17"
"CCIS32452666ST.4.0","MMRS85382779ST.27.0.0"
"CCIS21126322ST.4.0","DRR127485"
"CCIS63910149ST.4.0","SID31685"
"MMRS11932626ST.27.0.0","CCIS53043478ST.4.0"
"SZAXPI017591.140","CCMD59583015ST.11.0"
"MMRS39582183ST.27.0.0","CCIS38765456ST.20.0"
"MMRS51307502ST.27.0.0","LILT_VF73_16"
"CCIS45793747ST.4.0","CCIS11015875ST.4.0"
"CRC_MR_SBJ73H_17","CCMD86707194ST.21.0"
"MMRS95277876ST.27.0.0","CCMD82866709ST.21.0"
"SZAXPI015261.75","CCIS62605362ST.3.0"
"LILT_VF171_T016","CCMD89306485ST.11.0"
"SZAXPI015271.93","MMRS12272136ST.27.0.0"
"CCIS27304052ST.3.0","CRC_MR_SBJ55C_17"
"CCMD35801800ST.11.0","SID31874"
"SID31519","SID31866"
"CRC_MR_SBJ84H_17","CCIS52370277ST.4.0"
"SZAXPI015263.84","MMRS72802364ST.27.0.0"
"MMRS88581325ST.27.0.0","CCMD95676152ST.11.0"
"MMRS54246132ST.27.0.0","SZAXPI003430.5"
"CCIS34604008ST.4.0","SZAXPI003412.1"
"CRC_MR_SBJ60H_17","MMRS81671217ST.27.0.0"
"MMRS95479054ST.27.0.0","MMRS44587603ST.27.0.0"
"CCMD45004878ST.11.0","CCIS78318719ST.4.0"
"CRC_MR_SBJ69H_17","CRC_MR_SBJ26C_17"
"CRC_MR_SBJ82H_17","CRC_MR_SBJ39C_17"
"MMRS68630931ST.27.0.0","MMRS62376181ST.27.0.0"
"SZAXPI015252.43","CCIS98832363ST.4.0"
"DRR127649","DRR162778"
"LILT_VF262_T016","LILT_VF207_T017"
"MMRS65862658ST.27.0.0","CCMD51864103ST.21.0"
"CCIS41692898ST.4.0","CCIS53355328ST.4.0"
"CRC_MR_SBJ67H_17","CCMD18872694ST.21.0"
"CCIS64773582ST.4.0","DRR127580"
"CCIS81139242ST.4.0","CCIS81887263ST.4.0"
"CCMD31009081ST.11.0","CCMD88272491ST.21.0"
"CRC_MR_SBJ45H_17","LILT_VF300_T016"
"MMRS25211151ST.27.0.0","SZAXPI017585.109"
"CCMD49025643ST.11.0","SID31876"
"CCIS16561622ST.4.0","CCMD64503764ST.21.0"
"CCIS29210128ST.4.0","SZAXPI015222.123"
"CCMD50300306ST.11.0","SID31883"
"CCIS16383318ST.4.0","CCIS98512455ST.4.0"
"CCIS95097901ST.4.0","SZAXPI003424.12"
"SID530394","MMRS97052561ST.27.0.0"
"LILT_VF84_16","CCMD65222621ST.11.0"
"CCIS44093303ST.4.0","CCIS87605453ST.4.0"
"MMPU99077057ST","SZAXPI017457.24"
"SZAXPI015274.111","CCMD26709089ST.21.0"
"MMRS20257302ST.27.0.0","MMRS24340226ST.27.0.0"
"SID532826","SZAXPI017459.26"
"SID532749","SZAXPI015211.166"
"CCIS07277498ST.4.0","CRC_MR_SBJ33C_17"
"DRR127552","SZAXPI015214.19"
"MMRS51737257ST.27.0.0","LILT_VF77_16"
"SID530315","DRR127476"
"LILT_VF170_T016","MMRS43563715ST.27.0.0"
"CRC_MR_SBJ17H_17","DRR127478"
"MMRS85548821ST.27.0.0","DRR127481"
