"Ctl","Disease"
"CCIS21126322ST.4.0","CCIS48725289ST.4.0"
"SID530331","CCMD13934959ST.21.0"
"CRC_MR_SBJ79H_17","SID31685"
"CCIS03473770ST.4.0","CCIS41548810ST.4.0"
"CCIS78100604ST.4.0","SID31489"
"MMRS88581325ST.27.0.0","SZAXPI015225.18"
"MMRS93621581ST.27.0.0","MMRS12272136ST.27.0.0"
"CCMD53508245ST.11.0","CRC_MR_SBJ39C_17"
"CCIS71578391ST.4.0","MMRS16644320ST.27.0.0"
"MMRS84159866ST.27.0.0","MMRS51410669ST.27.0.0"
"SZAXPI015264.87","MMRS81671217ST.27.0.0"
"CCMD54057834ST.11.0","MMRS72802364ST.27.0.0"
"CCMD31134579ST.11.0","CRC_MR_SBJ49C_17"
"LILT_VF10_T016","SZAXPI015217.140"
"SID531414","CCMD76222476ST.11.0"
"SZAXPI015258.57","CCMD26925580ST.21.0"
"CCIS07648107ST.4.0","CCMD74930188ST.21.0"
"CCIS29210128ST.4.0","SZAXPI003422.11"
"CRC_MR_SBJ34H_17","SID531382"
"SID31512","SID31549"
"CCIS36699628ST.4.0","SID31446"
"CCMD30626189ST.11.0","DRR127617"
"CCIS90164298ST.4.0","SZAXPI003413.4"
"SZAXPI015243.31","MMRS41711735ST.27.0.0"
"DRR127777","SZAXPI015211.166"
"MMRS38861560ST.27.0.0","CCMD11006829ST.21.0"
"MMRS20257302ST.27.0.0","MMRS71762412ST.27.0.0"
"CCMD39157124ST.11.0","CRC_MR_SBJ33C_17"
"CCMD93755960ST.11.0","SZAXPI017452.17"
"SZAXPI003429.3","CCIS87252800ST.4.0"
"SZAXPI015272.108","CCIS41222843ST.4.0"
"SZAXPI015240.26","MMRS44197125ST.27.0.0"
"CCIS10706551ST.3.0","SZAXPI017464.37"
"LILT_VF18_T016","DRR127481"
"SID530052","SID31159"
"SID31749","SZAXPI017459.26"
"DRR127756","CCIS15704761ST.4.0"
"DRR162775","DRR127509"
