"Ctl","Disease"
"SID532915","CCIS87116798ST.4.0"
"CCMD41202658ST.11.0","MMRS54316675ST.27.0.0"
"CCIS00281083ST.3.0","DRR127666"
"CCMD35081859ST.11.0","CCIS83870198ST.4.0"
"LILT_VF43_16","SID531361"
"SZAXPI015253.44","CRC_MR_SBJ01C_17"
"CCIS94603952ST.4.0","SZAXPI017594.166"
"CCIS11354283ST.4.0","CRC_MR_SBJ52C_17"
"SZAXPI017592.142","SID31276"
"MMRS67096717ST.27.0.0","DRR127767"
"CCMD51228890ST.11.0","DRR127646"
"SZAXPI015227.13","CCMD52145360ST.11.0"
"CCMD10191450ST.11.0","CCMD89306485ST.11.0"
"CCIS23164343ST.4.0","CRC_MR_SBJ55C_17"
"CRC_MR_SBJ21H_17","MMRS90191266ST.27.0.0"
"CCMD66848156ST.11.0","SID531128"
"SID31379","CRC_MR_SBJ22C_17"
"DRR127649","MMRS86958796ST.27.0.0"
"MMRS64281551ST.27.0.0","CCIS84543192ST.4.0"
"SID530258","CRC_MR_SBJ64C_17"
"MMRS57569834ST.27.0.0","SZAXPI015215.20"
"CCIS21126322ST.4.0","DRR127485"
"CCMD56948710ST.11.0","CCMD35802077ST.21.0"
"MMPU72854103ST","MMRS14379078ST.27.0.0"
"SZAXPI015260.74","SZAXPI017590.136"
"SID31537","SZAXPI003424.12"
"MMRS11932626ST.27.0.0","MMRS14602194ST.27.0.0"
"CRC_MR_SBJ80H_17","CRC_MR_SBJ02C_17"
"CRC_MR_SBJ74H_17","SZAXPI017458.25"
"CCIS07539127ST.4.0","CCIS91228662ST.4.0"
"CCIS51595129ST.4.0","MMRS77487595ST.27.0.0"
"MMRS88581325ST.27.0.0","CCIS47284573ST.4.0"
"CCMD18579000ST.11.0","CCMD13934959ST.21.0"
"CCIS71578391ST.4.0","CRC_MR_SBJ04C_17"
"CCMD54057834ST.11.0","CCIS53043478ST.4.0"
"DRR127737","DRR127617"
"CCIS45793747ST.4.0","MMRS16644320ST.27.0.0"
"CCIS78100604ST.4.0","SID31489"
"MMRS65862658ST.27.0.0","MMRS43939546ST.27.0.0"
"SID530167","SID31873"
"CRC_MR_SBJ24H_17","CCIS61287323ST.4.0"
"MMRS54246132ST.27.0.0","SZAXPI017467.87"
"CRC_MR_SBJ34H_17","MMRS96422329ST.27.0.0"
"CRC_MR_SBJ81H_17","SZAXPI003411.6"
"CCMD23541216ST.11.0","SID31188"
"SZAXPI015244.32","SID31876"
"CCIS45571137ST.3.0","LILT_VF29_16"
"CRC_MR_SBJ84H_17","SID531277"
"CCIS05314658ST.4.0","CCMD63399960ST.21.0"
"MMRS35808664ST.27.0.0","SID31883"
"SID31750","SID31875"
"LILT_VF40_16","LILT_VF100_T016"
"CCMD73128545ST.11.0","SZAXPI017462.33"
"LILT_VF261_T016","MMRS34525504ST.27.0.0"
"CCIS90164298ST.4.0","CRC_MR_SBJ20C_17"
"CCIS88317640ST.4.0","SID31004"
"CCIS16326685ST.4.0","SZAXPI015225.18"
"MMRS85548821ST.27.0.0","DRR127638"
"CCIS41692898ST.4.0","SID531281"
