"Ctl","Disease"
"MMRS64281551ST.27.0.0","CCMD48236717ST.21.0"
"CCMD10191450ST.11.0","CCMD89306485ST.11.0"
"LILT_VF00TL_16","CCIS83870198ST.4.0"
"SZAXPI015230.16","CCMD49461418ST.11.0"
"SID530258","CRC_MR_SBJ64C_17"
"MMRS34569532ST.27.0.0","MMRS77487595ST.27.0.0"
"CCIS02124300ST.4.0","CCIS48725289ST.4.0"
"SZAXPI015260.74","SZAXPI017590.136"
"MMPU72854103ST","CCMD59583015ST.11.0"
"DRR127597","MMRS18295921ST.27.0.0"
"CCIS03473770ST.4.0","CCMD52145360ST.11.0"
"SID530055","SID530890"
"CCMD27867141ST.11.0","CCMD45988061ST.21.0"
"SID530050","SID31004"
"LILT_VF212_T016","LILT_VF73_16"
"SZAXPI015251.41","MMRS25641480ST.27.0.0"
"MMPU99077057ST","SID31877"
"SZAXPI015262.79","SID31276"
"CCMD98702133ST.11.0","CCMD51864103ST.21.0"
"CCIS16326685ST.4.0","SZAXPI015225.18"
"CCIS13047523ST.4.0","CRC_MR_SBJ02C_17"
"CCMD10032470ST.11.0","CCMD93344354ST.21.0"
"CCIS94603952ST.4.0","SZAXPI017588.123"
"SZAXPI015271.93","DRR162778"
"CRC_MR_SBJ67H_17","SZAXPI017593.158"
"MMPU68403337ST","LILT_VF29_16"
"DRR127748","DRR127646"
"SZAXPI015272.108","SZAXPI015213.15"
"SID532796","DRR127515"
"DRR127488","CRC_MR_SBJ42C_17"
"MMRS32573774ST.27.0.0","LILT_VF176_T017"
"DRR127737","SZAXPI015220.136"
"CCMD85481373ST.11.0","CCIS34055159ST.4.0"
"CCIS74239020ST.4.0","MMRS85382779ST.27.0.0"
"SID31360","CCIS82146115ST.4.0"
"DRR127613","DRR127594"
"SZAXPI015247.35","DRR127521"
"MMPU29365221ST","DRR127774"
"SID530167","CCMD35633353ST.11.0"
"CCMD53508245ST.11.0","CCMD25511638ST.21.0"
"CCMD67373733ST.11.0","MMRS43563715ST.27.0.0"
"CCMD41521570ST.11.0","CRC_MR_SBJ29C_17"
"CCIS09568613ST.4.0","SID31883"
"CCIS81139242ST.4.0","CRC_MR_SBJ26C_17"
"SID31009","CCIS46047672ST.4.0"
"CCIS00146684ST.4.0","CCMD27463710ST.11.0"
"DRR127755","SZAXPI017463.36"
"DRR127537","SZAXPI015211.166"
"CCMD49942357ST.11.0","DRR127491"
"CCIS11558985ST.4.0","CCIS87252800ST.4.0"
"SZAXPI015265.88","SZAXPI003434.7"
"CCMD38158721ST.11.0","MMRS59699117ST.27.0.0"
"SID532826","SID31865"
