"Ctl","Disease"
"CCIS03473770ST.4.0","CRC_MR_SBJ32C_17"
"SZAXPI015245.33","CCIS84543192ST.4.0"
"SID530331","CCMD13934959ST.21.0"
"CCIS09568613ST.4.0","SZAXPI003426.11"
"CCIS50471204ST.4.0","CCIS55230578ST.4.0"
"CCMD35081859ST.11.0","LILT_VF73_16"
"DRR127649","CCMD82866709ST.21.0"
"SZAXPI017591.140","CCMD51864103ST.21.0"
"MMRS81135225ST.27.0.0","MMRS67247116ST.27.0.0"
"DRR127613","CRC_MR_SBJ49C_17"
"CCIS32452666ST.4.0","CCMD52145360ST.11.0"
"SID530167","CCIS87116798ST.4.0"
"CCMD37575804ST.11.0","CRC_MR_SBJ52C_17"
"SZAXPI015273.95","SZAXPI003422.11"
"CCIS15794887ST.4.0","CCMD50071957ST.21.0"
"SID31537","CCMD98531134ST.11.0"
"CRC_MR_SBJ67H_17","CCMD71242853ST.11.0"
"CCIS95097901ST.4.0","CCIS76845094ST.20.0"
"SZAXPI015260.74","DRR127718"
"SID31009","CCIS62605362ST.3.0"
"CRC_MR_SBJ21H_17","LILT_VF29_16"
"CCMD46727384ST.11.0","CCIS62794166ST.4.0"
"DRR127704","SID531766"
"CCMD41521570ST.11.0","CCMD74930188ST.21.0"
"DRR127748","SID31159"
"DRR127537","DRR127514"
"CCMD29706695ST.11.0","DRR127754"
"CCMD18829815ST.11.0","MMRS59699117ST.27.0.0"
"SID532779","CCMD65222621ST.11.0"
"CRC_MR_SBJ68H_17","SZAXPI017456.23"
"LILT_VF212_T016","LILT_VF251_T017"
"LILT_VF06_16","SZAXPI003427.1"
"MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0"
"SID31360","CCIS59132091ST.4.0"
"CCMD26625622ST.11.0","DRR127491"
"CCIS16383318ST.4.0","LILT_VF77_16"
"LILT_GF06_16","CCIS87167916ST.4.0"
"CRC_MR_SBJ81H_17","CCIS41288781ST.4.0"
"SZAXPI015233.19","CCMD21703880ST.11.0"
