"Ctl","Disease"
"MMRS38954404ST.27.0.0","CCIS38765456ST.20.0"
"CCMD31009081ST.11.0","DRR127603"
"SID532915","CCIS78318719ST.4.0"
"DRR127692","SID531248"
"CRC_MR_SBJ67H_17","MMRS77018926ST.27.0.0"
"SID530394","MMRS14379078ST.27.0.0"
"SZAXPI015244.32","SZAXPI017588.123"
"CCMD73128545ST.11.0","SZAXPI017462.33"
"CCIS27304052ST.3.0","CRC_MR_SBJ55C_17"
"MMPU68403337ST","SZAXPI015225.18"
"CCMD37575804ST.11.0","CCMD35802077ST.21.0"
"MMPU99077057ST","CCMD76222476ST.11.0"
"CCIS02124300ST.4.0","MMRS81671217ST.27.0.0"
"DRR127628","CCMD50071957ST.21.0"
"SZAXPI015263.84","SID31883"
"SID31452","CRC_MR_SBJ39C_17"
"CCMD49025643ST.11.0","CCMD88272491ST.21.0"
"SID31637","CCIS61287323ST.4.0"
"CCMD29706695ST.11.0","DRR127617"
"CCMD85661207ST.11.0","MMRS62376181ST.27.0.0"
"MMRS57276462ST.27.0.0","MMRS81194191ST.27.0.0"
"CRC_MR_SBJ73H_17","CRC_MR_SBJ26C_17"
"SID530167","SID531333"
"MMRS67096717ST.27.0.0","SID31159"
"SID31512","CCIS46047672ST.4.0"
"DRR127552","MMRS41266697ST.27.0.0"
"LILT_VF00TL_16","LILT_GF15_16"
