"Ctl","Disease"
"LILT_VF28_T016","LILT_VF29_16"
"SID530075","SZAXPI017590.136"
"CCMD54057834ST.11.0","SZAXPI017454.20"
"SID532915","CCIS87116798ST.4.0"
"SZAXPI015231.17","DRR127666"
"SZAXPI015234.20","SID31881"
"MMRS54246132ST.27.0.0","SZAXPI015220.136"
"SID31267","CRC_MR_SBJ55C_17"
"SID532802","CCMD13934959ST.21.0"
"SZAXPI015264.87","MMRS54316675ST.27.0.0"
"CCIS03473770ST.4.0","CRC_MR_SBJ32C_17"
"CCIS71578391ST.4.0","SID530890"
"SZAXPI015245.33","CCIS84543192ST.4.0"
"CCMD53508245ST.11.0","MMRS96422329ST.27.0.0"
"CCMD23541216ST.11.0","CCIS21278152ST.4.0"
"MMRS67096717ST.27.0.0","DRR127767"
"SZAXPI017592.142","SID31489"
"CRC_MR_SBJ60H_17","SZAXPI017593.158"
"LILT_VF00TL_16","CCIS83870198ST.4.0"
"CRC_MR_SBJ83H_17","MMRS81671217ST.27.0.0"
"CRC_MR_SBJ81H_17","DRR127646"
"SID530258","CRC_MR_SBJ64C_17"
"CCMD27867141ST.11.0","SZAXPI017466.84"
"CCIS21126322ST.4.0","MMRS90191266ST.27.0.0"
"MMPU72854103ST","MMRS14379078ST.27.0.0"
"SZAXPI015262.79","SZAXPI003412.1"
"CCIS50003399ST.4.0","CRC_MR_SBJ52C_17"
"SID31379","CCIS82146115ST.4.0"
"CCIS50471204ST.4.0","SID531155"
"DRR127535","SZAXPI017468.88"
"CCIS07539127ST.4.0","CCIS41548810ST.4.0"
"SID530215","SZAXPI003436.7"
"SZAXPI015260.74","SZAXPI017595.169"
"DRR127692","SZAXPI017589.133"
"CCMD35801800ST.11.0","MMRS14602194ST.27.0.0"
"CCMD17410933ST.11.0","CCMD59583015ST.11.0"
"SID530394","CCMD25963797ST.21.0"
"CCMD50300306ST.11.0","CRC_MR_SBJ49C_17"
"CCMD85481373ST.11.0","SZAXPI003426.11"
"MMPU99077057ST","CCMD49461418ST.11.0"
"CCIS09568613ST.4.0","SID31876"
"CCMD59540613ST.11.0","CCMD63399960ST.21.0"
