"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"CCIS27304052ST.3.0","CCIS02124300ST.4.0","SID31452","CCMD37575804ST.11.0","SID31512","SID31333","SID530394","23.4753451505021","23.772168502175","24.0898055290905","25.2323130007437","27.982302812903","29.4004780508549","CRC_MR_SBJ55C_17","CRC_MR_SBJ39C_17","CCIS46047672ST.4.0","SZAXPI015225.18","CCMD35802077ST.21.0","SZAXPI017462.33","19.1353497192343","23.0870870404042","25.0805727431771","26.797039929287","28.4794619769036","29.3651786231976"
"CCMD29706695ST.11.0","SZAXPI015263.84","CCMD31009081ST.11.0","SZAXPI015244.32","CRC_MR_SBJ67H_17","CCIS02124300ST.4.0","MMRS57276462ST.27.0.0","22.2088119874387","22.2202342372645","26.8001273697029","27.185620269225","27.3138086316775","29.7093685554826","DRR127603","MMRS81671217ST.27.0.0","SID31883","DRR127617","SZAXPI017588.123","CCMD50071957ST.21.0","18.0713641823079","21.8399741657562","24.7943566000209","25.538685022532","26.312478732457","27.9252295005645"
"CCMD31009081ST.11.0","CCMD49025643ST.11.0","CRC_MR_SBJ67H_17","CCMD85661207ST.11.0","CCMD29706695ST.11.0","SID532915","SZAXPI015263.84","19.3875090953892","21.4231698799967","21.8144921111677","22.2202342372645","22.2434306998021","22.301642695907","DRR127603","SZAXPI017462.33","CCMD50071957ST.21.0","CCIS78318719ST.4.0","CCMD35802077ST.21.0","CCMD88272491ST.21.0","16.4511638321336","20.4799848014568","22.7125392134015","23.1146832664867","23.3996856306212","23.5083306118129"
"CCMD49025643ST.11.0","CCMD31009081ST.11.0","SID532915","SID530167","SZAXPI015244.32","MMRS38954404ST.27.0.0","CCMD73128545ST.11.0","19.3875090953892","22.7719797601636","24.4624111083045","26.6662017445455","26.9388624583055","27.305643104743","SZAXPI017462.33","CCMD88272491ST.21.0","CCMD50071957ST.21.0","CCIS38765456ST.20.0","CCIS78318719ST.4.0","CCMD35802077ST.21.0","23.3554081823697","23.9865898687058","24.0648612655652","24.2547530614847","25.5533041249033","27.0460086718077"
"DRR127552","MMPU99077057ST","CCMD85661207ST.11.0","DRR127628","MMRS57276462ST.27.0.0","CRC_MR_SBJ73H_17","SZAXPI015244.32","33.0700733516287","35.009022783991","35.1628250628714","36.7604621003164","36.7864423288594","36.9734593255108","MMRS81194191ST.27.0.0","CRC_MR_SBJ26C_17","MMRS41266697ST.27.0.0","MMRS62376181ST.27.0.0","SZAXPI017588.123","SID31883","28.209104642498","28.8564491280511","31.3363804661738","34.5549930037687","35.8399545833822","35.9724391987769"
"DRR127628","MMPU99077057ST","MMPU68403337ST","CRC_MR_SBJ73H_17","CCIS02124300ST.4.0","SZAXPI015244.32","CCMD31009081ST.11.0","23.5228111884315","24.9109123992398","25.3673685485665","25.5358138016649","26.1397991054847","26.2386767842111","SZAXPI017588.123","CCMD50071957ST.21.0","MMRS81194191ST.27.0.0","SZAXPI017462.33","CCMD35802077ST.21.0","SZAXPI015225.18","20.2036507682894","21.7454183693945","24.4202621186158","25.1591134556566","25.6336800126864","25.9074608619274"
"DRR127692","SZAXPI015231.17","SZAXPI015263.84","CCMD29706695ST.11.0","CRC_MR_SBJ67H_17","CCMD31009081ST.11.0","CCIS02124300ST.4.0","23.5541688019382","27.9387323241016","30.4746579837051","36.8826807648183","37.6090299263581","38.3243384247413","SID531248","DRR127617","MMRS81671217ST.27.0.0","SID31883","DRR127603","CCIS61287323ST.4.0","17.6860961725362","18.6400833063294","27.6302504905203","28.8060258716922","35.8489632489532","37.4268649776855"
"DRR127755","SZAXPI015242.30","CCIS02124300ST.4.0","CRC_MR_SBJ73H_17","DRR127628","SZAXPI015244.32","CRC_MR_SBJ67H_17","22.5051008604716","30.3330504619483","30.383433002569","30.3870303488478","31.820698240675","31.9018162651893","MMRS81194191ST.27.0.0","SZAXPI017588.123","CCMD50071957ST.21.0","CCMD76222476ST.11.0","SID31883","MMRS62376181ST.27.0.0","28.21576166791","30.1151212969066","31.5120252332661","32.5934587832068","33.004417642649","33.2856802493084"
"LILT_VF00TL_16","CCMD10191450ST.11.0","LILT_VF171_T016","MMPU99077057ST","MMPU68403337ST","CRC_MR_SBJ73H_17","SZAXPI015242.30","21.0049760374607","23.2915761709507","28.726956664995","29.1364861938069","32.2813146842272","32.4345184903137","CCMD76222476ST.11.0","MMRS77018926ST.27.0.0","SZAXPI017588.123","CCMD50071957ST.21.0","CCMD35802077ST.21.0","LILT_GF15_16","22.735735407677","27.0931484363003","31.3995252747315","35.2297377864852","36.0071625684849","36.5319637500682"
"LILT_VF171_T016","CCMD10191450ST.11.0","LILT_VF00TL_16","MMPU99077057ST","CRC_MR_SBJ73H_17","SZAXPI015242.30","MMPU68403337ST","21.4770707507402","23.2915761709507","33.6245987701816","35.3067754704207","36.3955126446146","38.9836459808943","CCMD76222476ST.11.0","MMRS77018926ST.27.0.0","SZAXPI017588.123","CCMD35802077ST.21.0","MMRS81194191ST.27.0.0","CRC_MR_SBJ26C_17","26.3389305940105","35.7424555876425","38.7041284831334","43.0619974856543","43.4141451132163","44.2357974884392"
"MMPU68403337ST","MMPU99077057ST","DRR127628","CRC_MR_SBJ73H_17","CCMD31009081ST.11.0","CCIS02124300ST.4.0","CCMD85661207ST.11.0","23.9811729203098","24.9109123992398","26.3659984640977","27.1096995173222","27.4571817673792","28.0128987885313","SZAXPI015225.18","SZAXPI017588.123","CCMD50071957ST.21.0","CCMD76222476ST.11.0","CCMD35802077ST.21.0","SZAXPI017462.33","19.5647715613268","23.6392606333955","23.6971444195118","25.1422273677731","26.0496452022019","27.3845444943421"
"MMPU99077057ST","CRC_MR_SBJ73H_17","CCMD85661207ST.11.0","SZAXPI015242.30","CCIS02124300ST.4.0","DRR127628","CRC_MR_SBJ67H_17","15.5729778437716","16.5887608096416","20.5568376608223","22.0057042148735","23.5228111884315","23.550832518616","SZAXPI017588.123","SZAXPI017462.33","CCMD76222476ST.11.0","MMRS77018926ST.27.0.0","CCMD50071957ST.21.0","MMRS81194191ST.27.0.0","19.4915930150616","20.2959429583452","20.7478793959286","21.3513533968997","24.264012923822","25.275413433313"
"MMRS38954404ST.27.0.0","CCMD31009081ST.11.0","SID532915","CCMD73128545ST.11.0","CCMD49025643ST.11.0","CRC_MR_SBJ67H_17","CCMD85661207ST.11.0","24.7401741053554","26.0888216509447","26.6572860248732","26.9388624583055","27.8384775637264","27.9189085563763","CCIS38765456ST.20.0","SZAXPI017462.33","CCMD50071957ST.21.0","CCMD88272491ST.21.0","CCMD35802077ST.21.0","CCIS78318719ST.4.0","14.2996402797588","25.7290265639569","27.3108032316261","28.5006050779137","29.0143907164393","29.0638012329547"
"MMRS57276462ST.27.0.0","CRC_MR_SBJ67H_17","CCIS02124300ST.4.0","CRC_MR_SBJ73H_17","CCMD85661207ST.11.0","SZAXPI015242.30","CCMD37575804ST.11.0","22.6248546573807","24.7471565515152","25.4743556878462","26.1858427781846","26.8839272493418","27.5713437006469","MMRS77018926ST.27.0.0","SZAXPI017588.123","MMRS81194191ST.27.0.0","SZAXPI017462.33","CCMD50071957ST.21.0","DRR127476","23.3625896307708","26.0769175043888","26.9174964850671","27.7395214475286","27.7552164841837","28.3467093383853"
"MMRS67096717ST.27.0.0","SID31333","CCMD37575804ST.11.0","SID31512","CCMD85661207ST.11.0","SZAXPI015244.32","CCIS02124300ST.4.0","26.6981282538027","27.1349051250027","32.1406726228061","32.6093186687134","33.8719723002942","34.1604992220766","SID31159","SZAXPI015225.18","CCMD35802077ST.21.0","CCMD50071957ST.21.0","SZAXPI017588.123","MMRS81194191ST.27.0.0","29.8096627082948","31.8993189170098","31.9139275791307","33.1369459845563","36.0469339797964","36.1052362546833"
"SID31452","SID31512","SID31333","CCIS27304052ST.3.0","CCIS02124300ST.4.0","SID530394","CRC_MR_SBJ73H_17","22.6087055981562","22.61174703396","23.772168502175","26.2812569814307","27.1899369313281","27.2682917285608","CRC_MR_SBJ55C_17","CRC_MR_SBJ39C_17","CCIS46047672ST.4.0","SZAXPI015225.18","SZAXPI017588.123","SZAXPI017462.33","21.5781452087569","23.6065047379615","26.1037322382911","26.9929252259625","29.2743231491541","29.3794619674476"
