"Ctl","Disease"
"SID530331","CRC_MR_SBJ02C_17"
"SZAXPI015231.17","SZAXPI017467.87"
"CCIS94603952ST.4.0","SZAXPI017594.166"
"SID31700","SID531128"
"CCMD35081859ST.11.0","CCMD95431029ST.11.0"
"CRC_MR_SBJ83H_17","MMRS18295921ST.27.0.0"
"CCIS45793747ST.4.0","MMRS16644320ST.27.0.0"
"SID31021","CCMD64776337ST.21.0"
"LILT_VF28_T016","SID31878"
"MMRS73787048ST.27.0.0","CCIS53043478ST.4.0"
"CCIS41692898ST.4.0","CCIS82146115ST.4.0"
"CCIS81139242ST.4.0","CRC_MR_SBJ52C_17"
"MMRS51307502ST.27.0.0","LILT_VF73_16"
"SZAXPI015251.41","MMRS65205033ST.27.0.0"
"CCIS78100604ST.4.0","SID31276"
"CCIS32452666ST.4.0","CCIS55230578ST.4.0"
"SID530055","MMRS86958796ST.27.0.0"
"MMRS81135225ST.27.0.0","MMRS67247116ST.27.0.0"
"CRC_MR_SBJ74H_17","CCMD49461418ST.11.0"
"SZAXPI015271.93","MMRS14602194ST.27.0.0"
"SID530394","SZAXPI017462.33"
"SZAXPI015244.32","CCIS06260551ST.3.0"
"MMRS21365932ST.27.0.0","CCIS41548810ST.4.0"
"CCIS07648107ST.4.0","CCIS62794166ST.4.0"
"CCMD53522274ST.11.0","SZAXPI015226.14"
"CCIS45571137ST.3.0","CRC_MR_SBJ33C_17"
"CCMD39882286ST.11.0","SID31188"
"CCIS79210440ST.3.0","CRC_MR_SBJ51C_17"
"CCMD25475945ST.11.0","MMRS41711735ST.27.0.0"
"MMRS91297590ST.27.0.0","CCMD35802077ST.21.0"
"CCIS16326685ST.4.0","CCIS98832363ST.4.0"
"CCIS48174381ST.4.0","CRC_MR_SBJ11C_17"
"SID31219","SID31880"
"DRR127634","CCIS87252800ST.4.0"
"CCIS16383318ST.4.0","CRC_MR_SBJ53C_17"
"MMRS32573774ST.27.0.0","LILT_VF176_T017"
"CRC_MR_SBJ63H_17","DRR127559"
"SID530177","CCIS17669415ST.4.0"
"CCMD10191450ST.11.0","SZAXPI017452.17"
"SID31512","SID531469"
"CRC_MR_SBJ78H_17","DRR127774"
"SID530364","SID531333"
"CCMD50300306ST.11.0","CCMD19497912ST.21.0"
"SZAXPI015270.90","CCMD79349503ST.11.0"
"SZAXPI015228.14","SZAXPI017582.94"
"MMRS95674036ST.27.0.0","MMRS31306426ST.27.0.0"
"CCIS36699628ST.4.0","CRC_MR_SBJ61C_17"
"SZAXPI003419.6","SZAXPI017583.102"
"SZAXPI015247.35","CCMD60079086ST.21.0"
"CRC_MR_SBJ75H_17","SZAXPI015211.166"
"SID31071","CCIS22416007ST.4.0"
"DRR127532","MMRS72980899ST.27.0.0"
"LILT_VF06_16","SZAXPI015217.140"
"SID530315","CCIS61287323ST.4.0"
"SZAXPI015235.21","CCMD40701343ST.21.0"
"MMRS85548821ST.27.0.0","CCIS24254057ST.4.0"
"DRR127736","LILT_VF251_T017"
"MMRS65742083ST.27.0.0","MMRS34525504ST.27.0.0"
