"Ctl","Disease"
"CCMD31009081ST.11.0","CRC_MR_SBJ32C_17"
"SID530394","CRC_MR_SBJ42C_17"
"SID31267","SID31276"
"DRR127649","MMRS86958796ST.27.0.0"
"SZAXPI015245.33","DRR127617"
"CCMD35081859ST.11.0","CCMD95431029ST.11.0"
"CCMD85661207ST.11.0","CCIS48725289ST.4.0"
"CCMD35801800ST.11.0","MMRS14602194ST.27.0.0"
"CRC_MR_SBJ16H_17","MMRS90191266ST.27.0.0"
"CCMD50529145ST.11.0","CCMD76222476ST.11.0"
"SZAXPI015271.93","DRR127517"
"CRC_MR_SBJ65H_17","CCIS82146115ST.4.0"
"CCIS23164343ST.4.0","SID31489"
"MMRS73787048ST.27.0.0","CCIS53043478ST.4.0"
"CCMD89967135ST.11.0","CCMD46222674ST.21.0"
"SZAXPI015227.13","SID531155"
"SID530075","SID31493"
"SZAXPI015262.79","CRC_MR_SBJ64C_17"
"MMPU68403337ST","LILT_VF73_16"
"MMRS61683006ST.27.0.0","CCIS14449628ST.4.0"
"MMPU29365221ST","MMRS62376181ST.27.0.0"
"CCIS13047523ST.4.0","MMRS14379078ST.27.0.0"
"CCIS63910149ST.4.0","CRC_MR_SBJ10C_17"
"SZAXPI015242.30","CCMD86707194ST.21.0"
"CCIS09568613ST.4.0","CRC_MR_SBJ61C_17"
"MMRS95479054ST.27.0.0","MMRS93508324ST.27.0.0"
"CCMD39882286ST.11.0","SID31188"
"SZAXPI015265.88","CRC_MR_SBJ39C_17"
"MMPU84450604ST","CRC_MR_SBJ20C_17"
"SZAXPI015241.27","CCIS17669415ST.4.0"
"DRR127731","CRC_MR_SBJ05C_17"
"CCMD45004878ST.11.0","CRC_MR_SBJ36C_17"
"SID31112","SZAXPI003411.6"
"CCIS79210440ST.3.0","CCIS62605362ST.3.0"
"CCIS98482370ST.3.0","DRR127491"
"CCIS11362406ST.4.0","SID31549"
"SID31219","SID31880"
"CCIS03857607ST.4.0","CCMD79349503ST.11.0"
"CCMD76409700ST.11.0","CCMD26925580ST.21.0"
"SZAXPI003433.7","CCIS50148151ST.4.0"
"CCIS16561622ST.4.0","LILT_VF176_T017"
"CCIS64773582ST.4.0","DRR127580"
"SID530052","SID31871"
"CCIS95097901ST.4.0","CCIS76845094ST.20.0"
"CCIS27304052ST.3.0","CCIS41222843ST.4.0"
"CCMD18829815ST.11.0","CCMD52117727ST.11.0"
"LILT_VF84_16","CCMD95676152ST.11.0"
"CCIS74239020ST.4.0","DRR162778"
"SZAXPI015243.31","CCIS34055159ST.4.0"
"MMRS17603756ST.27.0.0","LILT_VF300_T016"
"SZAXPI015263.84","LILT_VF29_16"
"LILT_VF06_16","CCIS12656533ST.4.0"
"LILT_VF259_T016","CCIS52370277ST.4.0"
"SZAXPI017591.140","CCMD13071240ST.21.0"
"SZAXPI003419.6","SZAXPI017582.94"
"MMRS35808664ST.27.0.0","SZAXPI017584.108"
"SZAXPI015247.35","SZAXPI015221.142"
"CCIS36699628ST.4.0","SID531775"
"SID31071","CCIS22416007ST.4.0"
"DRR127532","DRR162779"
"LILT_GF06_16","SZAXPI017453.19"
"DRR127724","SZAXPI003431.1"
"MMRS29805707ST.27.0.0","DRR127674"
"CCMD25475945ST.11.0","SZAXPI003415.12"
"SID530163","SID31237"
"SZAXPI015249.37","SID31873"
"CCMD49942357ST.11.0","CRC_MR_SBJ35C_17"
"MMRS86168210ST.27.0.0","MMRS77321055ST.27.0.0"
