"Ctl","Disease"
"SZAXPI015231.17","SID531361"
"DRR127524","MMRS34525504ST.27.0.0"
"CCMD45812507ST.11.0","CCMD59583015ST.11.0"
"CCIS03473770ST.4.0","DRR127485"
"CCMD35081859ST.11.0","CCMD95431029ST.11.0"
"CCMD31009081ST.11.0","SID531128"
"SID31537","SZAXPI003424.12"
"SZAXPI015227.13","SID530890"
"CCIS95409808ST.4.0","CCIS38765456ST.20.0"
"DRR127692","SZAXPI017589.133"
"CRC_MR_SBJ60H_17","DRR127594"
"CRC_MR_SBJ67H_17","CRC_MR_SBJ36C_17"
"CCMD18579000ST.11.0","SZAXPI017462.33"
"CCIS05314658ST.4.0","CRC_MR_SBJ06C_17"
"CRC_MR_SBJ18H_17","SZAXPI003422.11"
"SZAXPI015230.16","SZAXPI017588.123"
"CCMD29706695ST.11.0","DRR127603"
"MMRS65862658ST.27.0.0","SZAXPI017586.111"
"CCIS94603952ST.4.0","MMRS90191266ST.27.0.0"
"CCIS41692898ST.4.0","SID531281"
"CCMD54057834ST.11.0","CCIS98512455ST.4.0"
"CCIS02856720ST.4.0","CRC_MR_SBJ10C_17"
"MMPU99077057ST","MMRS12272136ST.27.0.0"
"CCIS07648107ST.4.0","MMRS62376181ST.27.0.0"
"DRR127649","CRC_MR_SBJ51C_17"
"CCIS50003399ST.4.0","CCIS76845094ST.20.0"
"CCMD73128545ST.11.0","CCIS71301801ST.4.0"
"CCIS36797902ST.4.0","SZAXPI015225.18"
"SID530364","SID31549"
"SID31519","SZAXPI015217.140"
"SID532802","MMRS77321055ST.27.0.0"
"SID530050","DRR162778"
"SZAXPI003433.7","SZAXPI003427.1"
"SZAXPI015252.43","CCIS98832363ST.4.0"
"CCIS48174381ST.4.0","CRC_MR_SBJ11C_17"
"SID31219","SID31880"
"SZAXPI015261.75","MMRS81194191ST.27.0.0"
"CRC_MR_SBJ37H_17","CCIS77252613ST.4.0"
"MMRS81135225ST.27.0.0","CCIS87252800ST.4.0"
"MMRS32573774ST.27.0.0","LILT_VF176_T017"
"SID31512","SID31871"
"CCMD45004878ST.11.0","CCMD27463710ST.11.0"
"SZAXPI015247.35","MMRS47662059ST.27.0.0"
"MMRS68630931ST.27.0.0","LILT_VF300_T016"
"CCIS16383318ST.4.0","MMRS72802364ST.27.0.0"
"CCMD49025643ST.11.0","CCMD88272491ST.21.0"
"CCIS36699628ST.4.0","DRR127476"
"SID31749","CCIS50148151ST.4.0"
"CCMD93755960ST.11.0","MMRS86178473ST.27.0.0"
"SID31750","CRC_MR_SBJ33C_17"
"MMRS17963147ST.27.0.0","SZAXPI017457.24"
"MMRS40913371ST.27.0.0","CCMD52117727ST.11.0"
"SID31714","SID31159"
"DRR127763","DRR127580"
"CCIS07277498ST.4.0","DRR162777"
"MMRS17603756ST.27.0.0","SZAXPI017583.102"
"CCIS32452666ST.4.0","CCIS21278152ST.4.0"
"LILT_VF40_16","LILT_VF234_T017"
"LILT_VF189_T016","CCMD89306485ST.11.0"
"DRR127751","CCIS41288781ST.4.0"
"SZAXPI015234.20","DRR127708"
"CCIS95097901ST.4.0","SZAXPI017587.113"
"DRR127721","DRR127514"
"MMRS81130264ST.27.0.0","DRR127507"
"CRC_MR_SBJ74H_17","SZAXPI017452.17"
"MMRS92546335ST.27.0.0","CCIS85214191ST.3.0"
"CRC_MR_SBJ17H_17","DRR127478"
"DRR127724","MMRS41266697ST.27.0.0"
"CCIS29688262ST.20.0","SID531775"
"DRR127672","CRC_MR_SBJ07C_17"
