"Ctl","Disease"
"SZAXPI017592.142","SZAXPI003412.1"
"SID530167","SID31873"
"CCIS71578391ST.4.0","MMRS90191266ST.27.0.0"
"CCIS02124300ST.4.0","SID531416"
"CCMD54057834ST.11.0","MMRS15137911ST.27.0.0"
"MMRS61683006ST.27.0.0","MMRS81194191ST.27.0.0"
"SID530394","CCIS71301801ST.4.0"
"CCIS16383318ST.4.0","CRC_MR_SBJ53C_17"
"SZAXPI015255.46","LILT_VF270_T017"
"MMRS57569834ST.27.0.0","SZAXPI015222.123"
"CCIS07648107ST.4.0","DRR127774"
"CRC_MR_SBJ34H_17","DRR127515"
"CRC_MR_SBJ37H_17","CCIS83870198ST.4.0"
"CRC_MR_SBJ68H_17","DRR127767"
"CCMD39882286ST.11.0","CCMD87156761ST.21.0"
"CCIS07277498ST.4.0","SZAXPI003437.3"
"CCIS05314658ST.4.0","SZAXPI017461.32"
"MMRS79893829ST.27.0.0","MMRS51410669ST.27.0.0"
