"Ctl","Disease"
"CCMD37575804ST.11.0","SZAXPI017458.25"
"MMRS57276462ST.27.0.0","CCMD71242853ST.11.0"
"CCMD45812507ST.11.0","CCMD51864103ST.21.0"
"SID530052","SZAXPI003411.6"
"CCIS07648107ST.4.0","LILT_VF270_T017"
"DRR127777","CCMD95676152ST.11.0"
"CCIS00281083ST.3.0","CCIS84543192ST.4.0"
"MMRS51737257ST.27.0.0","SID531775"
"CCIS34604008ST.4.0","CCIS22958137ST.20.0"
"CCIS03857607ST.4.0","MMRS77487595ST.27.0.0"
"MMRS85438660ST.27.0.0","CCIS87605453ST.4.0"
"CCMD67373733ST.11.0","CCIS40244499ST.3.0"
