"Ctl","Disease"
"SZAXPI015231.17","SID531361"
"SZAXPI015234.20","SID31881"
"CCMD35081859ST.11.0","CCIS83870198ST.4.0"
"SID530331","CRC_MR_SBJ02C_17"
"SID530394","CRC_MR_SBJ42C_17"
"CCMD53508245ST.11.0","MMRS96422329ST.27.0.0"
"SID31328","SID530890"
"CCIS94417875ST.3.0","CCIS55230578ST.4.0"
"CCIS50003399ST.4.0","CRC_MR_SBJ52C_17"
"CCIS50471204ST.4.0","SID531155"
"SID31267","SZAXPI003412.1"
"CCIS21126322ST.4.0","CCMD95433940ST.21.0"
"SZAXPI015264.87","DRR127603"
"CRC_MR_SBJ65H_17","CCIS82146115ST.4.0"
"CCIS07539127ST.4.0","SZAXPI015218.16"
"MMRS61683006ST.27.0.0","MMRS16644320ST.27.0.0"
"SZAXPI015252.43","SZAXPI017458.25"
"CCIS90164298ST.4.0","CRC_MR_SBJ20C_17"
"CCIS94603952ST.4.0","CCMD26925580ST.21.0"
"CCIS05314658ST.4.0","MMRS93508324ST.27.0.0"
"SID530258","CRC_MR_SBJ10C_17"
"CRC_MR_SBJ21H_17","SZAXPI017586.111"
"CCMD37575804ST.11.0","CCMD35802077ST.21.0"
"SZAXPI015244.32","DRR127476"
"CCIS34604008ST.4.0","CRC_MR_SBJ25C_17"
"CCIS00281083ST.3.0","SZAXPI015220.136"
"CCIS09568613ST.4.0","CRC_MR_SBJ61C_17"
"CCIS36797902ST.4.0","SZAXPI015225.18"
"MMRS20257302ST.27.0.0","CCIS87116798ST.4.0"
"CCIS45571137ST.3.0","CCMD79349503ST.11.0"
"CRC_MR_SBJ69H_17","CRC_MR_SBJ26C_17"
"CRC_MR_SBJ60H_17","DRR127617"
"CCMD15562448ST.11.0","SZAXPI017595.169"
"CCMD93755960ST.11.0","SZAXPI015213.15"
"CCIS00146684ST.4.0","CRC_MR_SBJ47C_17"
"LILT_VF262_T016","LILT_VF207_T017"
"CCMD49025643ST.11.0","CCIS33816588ST.4.0"
"DRR127707","DRR162779"
"CCMD51228890ST.11.0","CCMD86114146ST.21.0"
"MMRS17603756ST.27.0.0","MMRS31306426ST.27.0.0"
"SID532796","SID31878"
"DRR127763","DRR127559"
"CCIS81139242ST.4.0","CCIS81887263ST.4.0"
"MMRS56137463ST.27.0.0","SZAXPI015214.19"
"DRR127777","CRC_MR_SBJ31C_17"
"MMRS39582183ST.27.0.0","LILT_VF176_T017"
"MMRS87723283ST.27.0.0","DRR127481"
"MMRS17963147ST.27.0.0","SZAXPI017457.24"
"CCIS36699628ST.4.0","SID31446"
"SID31071","SZAXPI017452.17"
"CCIS07277498ST.4.0","CCMD13071240ST.21.0"
"CCMD73128545ST.11.0","SID31223"
"CRC_MR_SBJ81H_17","SID31879"
"MMPU29365221ST","LILT_VF300_T016"
"CCIS93040568ST.20.0","MMRS15137911ST.27.0.0"
"DRR127713","MMRS92544445ST.27.0.0"
"LILT_VF84_16","CCMD65222621ST.11.0"
"SZAXPI015228.14","SZAXPI017582.94"
"CCIS23164343ST.4.0","SZAXPI017456.23"
"SZAXPI015247.35","DRR127507"
"SZAXPI003419.6","DRR127647"
"CCIS44093303ST.4.0","SZAXPI017461.32"
"CCIS51595129ST.4.0","SID531382"
"SID530364","SZAXPI003437.3"
"MMRS51737257ST.27.0.0","MMRS71762412ST.27.0.0"
"CRC_MR_SBJ03H_17","SZAXPI017584.108"
"CCIS11558985ST.4.0","CCIS87252800ST.4.0"
"DRR162776","CCMD88272491ST.21.0"
"CCIS98482370ST.3.0","LILT_VF281_T017"
