"Ctl","Disease"
"DRR127524","MMRS34525504ST.27.0.0"
"SID31328","CRC_MR_SBJ04C_17"
"MMRS34569532ST.27.0.0","MMRS77487595ST.27.0.0"
"CCIS94417875ST.3.0","CCIS33816588ST.4.0"
"CCMD76409700ST.11.0","CRC_MR_SBJ33C_17"
"SZAXPI015234.20","CCMD86114146ST.21.0"
"CCMD53508245ST.11.0","CCMD35802077ST.21.0"
"MMRS85548821ST.27.0.0","DRR127638"
"CRC_MR_SBJ18H_17","CRC_MR_SBJ01C_17"
"CCIS07277498ST.4.0","CRC_MR_SBJ42C_17"
"SZAXPI015271.93","CCIS53043478ST.4.0"
"SID532802","CCMD95433940ST.21.0"
"CCMD31134579ST.11.0","SZAXPI017468.88"
"LILT_VF140_T016","CCMD27463710ST.11.0"
"SID530295","CCMD45988061ST.21.0"
"CCIS45571137ST.3.0","MMRS65205033ST.27.0.0"
"DRR127731","LILT_VF300_T016"
"SZAXPI015252.43","CRC_MR_SBJ49C_17"
"CCIS90164298ST.4.0","SZAXPI015210.17"
"CCIS64773582ST.4.0","CCIS02379307ST.4.0"
"CCMD50538120ST.11.0","SZAXPI017452.17"
"SID31021","SID531333"
"SZAXPI015230.16","MMRS85382779ST.27.0.0"
"CCMD35801800ST.11.0","MMRS93508324ST.27.0.0"
"CRC_MR_SBJ79H_17","SID31876"
"SID530167","CCMD12232071ST.21.0"
"MMPU68403337ST","SID530373"
"CRC_MR_SBJ77H_17","CRC_MR_SBJ51C_17"
"CCMD10032470ST.11.0","CCMD34381688ST.21.0"
"SID31300","CCIS38765456ST.20.0"
"CCMD93755960ST.11.0","CCMD71242853ST.11.0"
"SZAXPI015265.88","CCIS87605453ST.4.0"
"DRR127616","SZAXPI015222.123"
"CRC_MR_SBJ03H_17","DRR127557"
"CRC_MR_SBJ69H_17","SZAXPI017580.90"
"SID532749","SZAXPI015211.166"
"LILT_VF10_T016","SZAXPI017465.43"
"CCMD17410933ST.11.0","SZAXPI003437.3"
"SZAXPI015228.14","MMRS31306426ST.27.0.0"
"SZAXPI015232.18","MMRS64281211ST.27.0.0"
"SZAXPI015233.19","MMRS78791111ST.27.0.0"
"MMRS67096717ST.27.0.0","CCIS22416007ST.4.0"
"CRC_MR_SBJ63H_17","CRC_MR_SBJ61C_17"
"CRC_MR_SBJ17H_17","LILT_VF234_T017"
"DRR127619","CCMD40701343ST.21.0"
