"Ctl","Disease"
"CCIS94417875ST.3.0","MMRS96422329ST.27.0.0"
"CCIS50471204ST.4.0","SID530890"
"CCIS03473770ST.4.0","CCIS55230578ST.4.0"
"SID530331","CCMD13934959ST.21.0"
"CRC_MR_SBJ73H_17","CCIS48725289ST.4.0"
"LILT_VF43_16","DRR127666"
"CRC_MR_SBJ46H_17","MMRS18295921ST.27.0.0"
"CCIS02856720ST.4.0","SZAXPI017456.23"
"MMPU99077057ST","MMRS43939546ST.27.0.0"
"MMRS11932626ST.27.0.0","CCMD90311071ST.21.0"
"DRR127524","CCIS84543192ST.4.0"
"SZAXPI015244.32","SZAXPI017454.20"
"SZAXPI015264.87","DRR127594"
"CCMD39882286ST.11.0","SID31188"
"SZAXPI003433.7","SZAXPI003427.1"
"CRC_MR_SBJ79H_17","CCIS53355328ST.4.0"
"CCMD17410933ST.11.0","CRC_MR_SBJ22C_17"
"CRC_MR_SBJ75H_17","SZAXPI003411.6"
"DRR127628","DRR162777"
"SZAXPI015247.35","MMRS81194191ST.27.0.0"
"SZAXPI015249.37","CRC_MR_SBJ47C_17"
"CRC_MR_SBJ45H_17","CRC_MR_SBJ27C_17"
"MMRS21365932ST.27.0.0","CCMD42428553ST.21.0"
"CRC_MR_SBJ37H_17","MMRS43563715ST.27.0.0"
"CCIS09568613ST.4.0","CCIS62794166ST.4.0"
"CCIS50003399ST.4.0","SZAXPI015221.142"
"DRR162775","SZAXPI015209.133"
"MMRS25211151ST.27.0.0","SZAXPI017585.109"
"SZAXPI015273.95","SZAXPI015210.17"
"DRR127546","DRR127580"
"LILT_VF28_T016","MMRS15137911ST.27.0.0"
"SID530177","SID31865"
"CCMD38158721ST.11.0","CCMD52117727ST.11.0"
"SID530364","CRC_MR_SBJ11C_17"
"CCMD85481373ST.11.0","SID31493"
"SZAXPI017592.142","CCIS46047672ST.4.0"
"MMRS81130264ST.27.0.0","LILT_VF300_T016"
"MMRS11288076ST.27.0.0","CCMD64503764ST.21.0"
"DRR127724","SZAXPI003431.1"
"SID31343","SID31872"
"CCMD10191450ST.11.0","CCMD34381688ST.21.0"
"SID31557","SZAXPI003421.5"
"CCIS29688262ST.20.0","SID31237"
"SID530451","DRR127774"
