"Ctl","Disease"
"LILT_VF28_T016","LILT_VF29_16"
"SID530394","CRC_MR_SBJ42C_17"
"CCIS94417875ST.3.0","CCIS41548810ST.4.0"
"MMRS95479054ST.27.0.0","DRR127485"
"SID530331","CCMD13934959ST.21.0"
"MMPU72854103ST","CCMD59583015ST.11.0"
"SZAXPI015245.33","SZAXPI015220.136"
"MMRS88581325ST.27.0.0","CCIS55230578ST.4.0"
"SZAXPI015263.84","MMRS54316675ST.27.0.0"
"CCMD54057834ST.11.0","CCIS53043478ST.4.0"
"CCMD27867141ST.11.0","CCMD42428553ST.21.0"
"MMRS11932626ST.27.0.0","CCMD95433940ST.21.0"
"LILT_VF212_T016","LILT_VF73_16"
"CCMD23541216ST.11.0","CCMD23101338ST.21.0"
"MMRS20257302ST.27.0.0","CCMD72895164ST.21.0"
"SID530119","SZAXPI003436.7"
"DRR127613","MMRS81671217ST.27.0.0"
"CCIS05314658ST.4.0","CCIS11015875ST.4.0"
"CCIS88317640ST.4.0","SID31004"
"SID530075","SID31367"
"LILT_VF40_16","LILT_VF207_T017"
"CCMD49025643ST.11.0","CRC_MR_SBJ32C_17"
"SID31766","CRC_MR_SBJ55C_17"
"MMRS93621581ST.27.0.0","SID31874"
"SID31512","SZAXPI015223.158"
"SZAXPI015258.57","SZAXPI017594.166"
"CRC_MR_SBJ68H_17","CRC_MR_SBJ64C_17"
"SID532779","MMRS85382779ST.27.0.0"
"LILT_GF06_16","CCIS44757994ST.4.0"
"SZAXPI015240.26","SZAXPI017463.36"
"CRC_MR_SBJ74H_17","CRC_MR_SBJ01C_17"
"MMRS17603756ST.27.0.0","MMRS62376181ST.27.0.0"
"MMRS85548821ST.27.0.0","CCMD52117727ST.11.0"
"SID31071","CCMD76222476ST.11.0"
"DRR127731","CCMD50071957ST.21.0"
"CCIS16561622ST.4.0","CCIS71301801ST.4.0"
"CRC_MR_SBJ37H_17","MMRS44587603ST.27.0.0"
"CCIS82944710ST.20.0","CCIS81887263ST.4.0"
"DRR127535","MMRS34525504ST.27.0.0"
"CCIS15794887ST.4.0","MMRS72802364ST.27.0.0"
"SZAXPI015247.35","MMRS47662059ST.27.0.0"
"CCMD39157124ST.11.0","CRC_MR_SBJ36C_17"
"CCIS88007743ST.4.0","MMRS15137911ST.27.0.0"
"LILT_VF84_16","MMRS77018926ST.27.0.0"
"SID530295","SID31285"
"LILT_VF189_T016","CCMD26925580ST.21.0"
"CCIS63468405ST.4.0","CCMD87156761ST.21.0"
"SID530177","SZAXPI003424.12"
"SID531414","SZAXPI015225.18"
"MMRS32573774ST.27.0.0","CCMD18872694ST.21.0"
"DRR127707","CCIS52370277ST.4.0"
"LILT_VF06_16","CCMD14479708ST.21.0"
"SZAXPI015228.14","DRR127647"
"CCIS93040568ST.20.0","SZAXPI017456.23"
"DRR127755","DRR127521"
"DRR127704","LILT_VF270_T017"
"DRR127777","SZAXPI015211.166"
"MMRS38861560ST.27.0.0","CCMD11006829ST.21.0"
"MMRS29805707ST.27.0.0","CCMD13071240ST.21.0"
"LILT_VF18_T016","LILT_VF251_T017"
"SID532796","LILT_VF65_16"
"SID31219","MMRS77321055ST.27.0.0"
"CCIS74239020ST.4.0","CRC_MR_SBJ29C_17"
"DRR127751","CCIS41288781ST.4.0"
"CCMD85481373ST.11.0","SZAXPI003418.8"
"CCIS10706551ST.3.0","CRC_MR_SBJ12C_17"
"DRR127672","CCMD88272491ST.21.0"
"DRR127721","SZAXPI017461.32"
"SZAXPI015269.94","SZAXPI017467.87"
"CCMD72666896ST.11.0","MMRS72980899ST.27.0.0"
"DRR162776","CCIS46467422ST.4.0"
