"Ctl","Disease"
"CCMD41202658ST.11.0","SZAXPI015226.14"
"SZAXPI015243.31","SZAXPI017590.136"
"MMRS57569834ST.27.0.0","SZAXPI015215.20"
"CCMD89967135ST.11.0","SID531352"
"CRC_MR_SBJ45H_17","CCMD46222674ST.21.0"
"MMRS34569532ST.27.0.0","CCIS38765456ST.20.0"
"SID530295","CCIS55230578ST.4.0"
"SID530258","SID31489"
"CCIS11354283ST.4.0","SID531155"
"SID31379","MMRS14379078ST.27.0.0"
"MMRS95277876ST.27.0.0","CCMD82866709ST.21.0"
"CCIS94603952ST.4.0","MMRS90191266ST.27.0.0"
"MMRS51307502ST.27.0.0","CCIS83870198ST.4.0"
"MMRS95479054ST.27.0.0","CRC_MR_SBJ31C_17"
"SZAXPI015263.84","CRC_MR_SBJ53C_17"
"CRC_MR_SBJ18H_17","MMRS55294627ST.27.0.0"
"LILT_VF189_T016","LILT_VF120_16"
"SID31071","SID31004"
"CCMD89107682ST.11.0","CCMD86114146ST.21.0"
"MMRS54246132ST.27.0.0","SZAXPI017589.133"
"MMRS56137463ST.27.0.0","SZAXPI017464.37"
"CCIS07648107ST.4.0","MMRS62376181ST.27.0.0"
"CCMD66848156ST.11.0","CCMD45988061ST.21.0"
"MMRS39582183ST.27.0.0","CRC_MR_SBJ40C_17"
"CCIS64785924ST.20.0","SZAXPI003412.1"
"DRR127731","CRC_MR_SBJ05C_17"
"SID530055","SZAXPI015223.158"
"CCIS29210128ST.4.0","SZAXPI017587.113"
"LILT_VF170_T016","MMRS51410669ST.27.0.0"
"CCMD46727384ST.11.0","MMRS67247116ST.27.0.0"
"CCIS11362406ST.4.0","SZAXPI003426.11"
"SZAXPI015271.93","CCIS50148151ST.4.0"
"CCIS16561622ST.4.0","DRR127515"
"SID31452","SID31285"
"DRR127737","CCIS40244499ST.3.0"
"CCIS15794887ST.4.0","CCMD76222476ST.11.0"
"DRR127588","SZAXPI003425.1"
"SID31021","CCMD14479708ST.21.0"
"CCIS50003399ST.4.0","SZAXPI015221.142"
"CCMD68973846ST.11.0","DRR127603"
"CCIS00146684ST.4.0","SID31223"
"CCMD49025643ST.11.0","CCMD60079086ST.21.0"
"CCIS93040568ST.20.0","CCMD98531134ST.11.0"
"MMRS11288076ST.27.0.0","SZAXPI003410.3"
"CCMD10032470ST.11.0","CCMD34381688ST.21.0"
"SZAXPI015260.74","CRC_MR_SBJ61C_17"
"CRC_MR_SBJ03H_17","MMRS81671217ST.27.0.0"
"SZAXPI015261.75","DRR127789"
"DRR127713","SZAXPI003431.1"
"DRR127552","DRR162779"
"CCMD39157124ST.11.0","CRC_MR_SBJ12C_17"
"MMRS36405092ST.27.0.0","CCIS46467422ST.4.0"
"LILT_VF43_16","SZAXPI003430.5"
"DRR127596","LILT_VF65_16"
"SID532749","CCIS12656533ST.4.0"
